signature,log2FC
RPS13,0.678182423114777
RPL32,0.556615293025971
NAA10,1.70272994041443
CTAG2,1.70725107192993
RPL10,0.716935515403748
PSMA1,0.865577936172485
SSR4,1.19117951393127
BCAP31,1.10774409770966
SRM,1.38593280315399
NME1,1.13321161270142
MRPL17,1.10401427745819
HPRT1,1.58185052871704
CCT7,0.980702579021454
FHL1,2.88154196739197
C1QBP,0.956624150276184
DKC1,1.49367833137512
TUBB4B,1.3775509595871
BRK1,0.900369822978973
LSM3,0.807242870330811
LAGE3,1.15639221668243
FOSL1,1.93563044071198
RANBP1,0.78771698474884
MAP7D3,1.72543346881866
LDOC1,1.47173666954041
TUBA1C,1.29599845409393
EMD,1.48967266082764
CD44,0.599103927612305
POLR2L,0.446361720561981
FAM58A,1.62402093410492
PA2G4,0.767696738243103
VBP1,1.18033969402313
UBE2C,1.66915595531464
CSAG1,1.19055831432343
HSPD1,0.724662363529205
NHP2,0.805262684822083
WDR43,1.06234908103943
C9orf142,0.961798369884491
MRPS25,1.42408490180969
NIFK,1.25358259677887
MAGEA4,1.03630590438843
DDX21,1.06572818756104
FAM50A,1.20180702209473
ZNF593,1.09677612781525
HSPA8,0.788832068443298
AURKAIP1,0.560835242271423
RAN,0.510147392749786
NPM3,1.0021368265152
PRRT3-AS1,1.92590498924255
GAL,1.06091701984406
HMGA1,0.567877113819122
TUBA1B,1.22557640075684
UBE2S,1.2156388759613
AURKB,1.36804485321045
HSPE1,0.598616719245911
SNRPE,0.50212299823761
ATP5G1,0.753711462020874
NAP1L1,0.505877256393433
IDH3G,1.12920069694519
AREG,1.5450531244278
CYC1,0.63293331861496
PDCD5,0.698907971382141
PPM1G,0.768832147121429
SNRPG,0.49477618932724
SPANXD,1.22533094882965
CCDC85B,0.76899129152298
HTATSF1,1.18796765804291
TIMM10,0.915739715099335
FJX1,1.3638322353363
PARK7,0.380910128355026
TOMM40,1.06143426895142
CDK1,1.34103453159332
BOP1,1.16527366638184
AIMP2,1.01414251327515
SNRPD1,0.627801775932312
KRT18,0.664963901042938
TAF10,0.909665405750275
RPUSD3,0.950515985488892
DCBLD2,1.50748836994171
NOP16,1.3483407497406
IRAK1,1.80046927928925
G0S2,1.90364873409271
THOC2,1.20233952999115
PDHX,0.902474105358124
MAGEA3,1.47335112094879
FAU,0.257002741098404
FAM127B,1.15730214118958
EBNA1BP2,0.828705847263336
KPNA2,1.21657192707062
CKS2,1.10364019870758
MRPL41,0.638469636440277
UTP14A,1.73877274990082
JAGN1,0.870452702045441
MRPL20,0.63230574131012
NOP56,0.813637495040894
EIF2S2,0.426123648881912
HN1,0.498716235160828
CD320,1.13684105873108
RRP7A,0.682295560836792
SERBP1,0.518266022205353
BID,0.92549204826355
CALM2,0.566006600856781
PRELID1,0.585654318332672
GEMIN6,1.04502511024475
HIST1H4C,1.40760982036591
COMTD1,1.00734317302704
PPA1,0.515296995639801
CMSS1,0.896621108055115
CYCS,0.657792925834656
POP5,0.851736724376679
TOP2A,1.20134341716766
TIMM13,0.648975610733032
NCL,0.624960601329804
CHORDC1,0.808764219284058
WDR34,0.817310571670532
MAGEA6,1.57390987873077
SRSF9,0.493987083435059
KLK5,1.18830251693726
HSPA1A,0.866858541965485
MAGEA12,1.3726794719696
CD3EAP,1.14155888557434
C17orf89,0.776547372341156
VMA21,0.982536017894745
TUBB,0.778411567211151
TUBA4A,0.855011105537415
NOL7,0.615967035293579
HSP90AA1,0.49288135766983
PFDN2,0.601743280887604
CCT2,0.641421139240265
C11orf58,0.490842789411545
HNRNPAB,0.802426278591156
PAK1IP1,1.0507310628891
MKI67,1.08312809467316
METRN,0.738354325294495
STRA13,0.81299364566803
TIMM8B,0.553209781646729
CKB,0.985453426837921
BOLA3,0.75588071346283
YDJC,0.94206041097641
PHLDA1,1.02587568759918
SLIRP,0.517035603523254
MRPL15,0.95604133605957
CST6,0.987608551979065
SAAL1,1.07215774059296
PGP,0.931789934635162
HMGB3,0.881874799728394
DKK1,0.786222994327545
EIF3J,0.574770748615265
DRAP1,0.528213560581207
STAG2,1.14251184463501
APRT,0.569852709770203
SNU13,0.469996124505997
SNRPB,0.458735018968582
SLC25A5,0.511206269264221
ADRM1,0.636023879051209
POLR2H,0.757774651050568
SERPINE2,1.19390654563904
CTNNAL1,0.817296802997589
HNRNPD,0.665962934494019
NDUFB9,0.34978586435318
TNFRSF12A,0.676436424255371
EZR,0.569992065429688
GDI1,1.26722455024719
PNO1,1.17811250686646
CCT6A,0.603174984455109
DPH3,1.10103285312653
FAM3A,1.32732343673706
LSM4,0.584076464176178
UBE2M,0.649215877056122
CHCHD10,0.774713099002838
MTHFD2,0.929239630699158
IMP4,0.8839031457901
COA4,0.681506633758545
PHF19,0.927094519138336
DDX18,0.750117957592011
MRPS16,0.57795649766922
TRMT112,0.381292253732681
ACOT7,0.762370586395264
CISD1,0.704612016677856
SDF2L1,0.591795861721039
THBS1,1.30746078491211
FLNA,1.08090388774872
EIF4A1,0.631392478942871
MRPL21,0.650280296802521
MRTO4,0.98487800359726
FUNDC2,0.908978939056396
COX8A,0.318015098571777
DPM2,0.902949273586273
RPL35,0.223602846264839
NOP10,0.415221303701401
MRPL12,0.684238195419312
ENO1,0.331951171159744
PPIF,0.9764404296875
RRM2,0.972724318504333
MRPL33,0.422389090061188
UCHL3,0.814737737178803
PHB,0.60858815908432
ODC1,0.826647341251373
NDUFAF4,1.42355418205261
TPRKB,0.657963693141937
COTL1,0.589530467987061
URI1,0.711609840393066
FAM207A,0.827410638332367
CCT4,0.485595643520355
WDR4,1.19682085514069
RBM8A,0.520064055919647
GTF2F2,0.89546537399292
TEX30,0.905965983867645
RIOK1,0.923335134983063
NDUFB2,0.411505579948425
NTMT1,0.810944139957428
RABEPK,1.19894063472748
WNT7A,1.34891843795776
DHFR,0.976139545440674
NEURL1,1.23525786399841
SERINC2,0.535094916820526
CDCA3,1.01184153556824
BUB3,0.626662492752075
VKORC1,0.77435177564621
CKS1B,0.773488879203796
RBMX2,1.05574154853821
GLRX2,0.987296223640442
GCSH,0.652624368667603
POLR3K,0.927421867847443
PSMG4,0.847687602043152
ATOX1,0.588758051395416
DDT,0.475436389446259
SURF2,0.854468405246735
AKAP12,0.724882483482361
EEF1B2,0.313253849744797
FAM136A,0.822084426879883
RPA3,0.509909510612488
C19orf70,0.590247571468353
ETFB,0.478308826684952
MRPS34,0.440981209278107
LINC00958,4.9161958694458
RNASEH2A,0.853683352470398
EFHD2,0.791178643703461
CENPV,1.09187364578247
PRADC1,0.996719777584076
ATP5G3,0.478602975606918
RRP15,0.84309184551239
ANP32B,0.445852071046829
CKLF,0.757770657539368
HPCAL1,1.58411073684692
RNASEH2C,0.48347070813179
TK1,0.675132393836975
NUDT5,0.534180641174316
C19orf24,0.650716125965118
RPF2,0.95253849029541
POLE3,0.852022588253021
PYCR1,0.790006816387177
PRC1,0.840073883533478
GALNT14,1.06799006462097
LYAR,1.13705182075501
SLC10A3,1.16039049625397
H2AFZ,0.533969163894653
NUSAP1,0.955104351043701
PTGES2,0.883026957511902
PARP1,0.542922139167786
PHLDA2,0.841442227363586
G6PD,0.593942642211914
FST,1.38502895832062
ARHGDIA,0.55670177936554
EDF1,0.300550580024719
SSB,0.520263135433197
SYNGR2,0.569939494132996
GSTO1,0.467422068119049
UBL4A,1.07982563972473
CETN2,0.645647346973419
CDK4,0.562702298164368
RPS19BP1,0.656703472137451
USP47,0.770798087120056
ANAPC5,0.799039125442505
THUMPD3-AS1,0.779352903366089
PAICS,0.701269745826721
EXOSC3,0.849588692188263
DCTPP1,0.807102978229523
CENPA,0.999341011047363
MRPL27,0.593313038349152
TIMM8A,1.19372200965881
TMEM141,0.562871277332306
AIFM1,1.07606196403503
CEP55,0.787531435489655
SSSCA1,0.685652315616608
BIRC5,0.779252588748932
TUBB2A,0.78074985742569
EIF5,0.448988527059555
EEF1E1,0.572163641452789
LY6D,1.52297639846802
ATP5D,0.381728231906891
IFRD2,1.13256573677063
GADD45GIP1,0.443398803472519
WDR74,0.976951897144318
THUMPD3,1.02776670455933
PUM3,1.20075988769531
EIF6,0.532357931137085
HMGA2,1.13155698776245
SNRPF,0.427451312541962
CACYBP,0.423102855682373
PSMB7,0.381804913282394
C20orf27,0.729471743106842
AY269186.1,0.759326696395874
SEC13,0.674750685691834
MRPL57,0.734135270118713
TMEM40,0.81749564409256
CHCHD4,1.45915973186493
ORMDL1,0.709972679615021
EIF3B,0.728084087371826
KIAA0101,0.695028424263001
MYC,0.833107650279999
MRPS2,0.737400650978088
DYNLL1,0.326453804969788
ZDHHC12,0.504410982131958
SIGMAR1,0.865670204162598
CEBPZ,0.577847242355347
ORAI1,0.932144939899445
MRPL14,0.483176738023758
HLA-G,1.13954174518585
EXOSC8,0.579732954502106
CISD3,0.750075697898865
CHAC2,1.14803338050842
RRS1,1.36855554580688
SRRM2,0.551890850067139
FARSA,0.842197954654694
F8A3,1.94021952152252
RPP40,0.896681487560272
PSME2,0.511251270771027
TPBG,1.0189688205719
PPAN,1.1591569185257
NSDHL,1.07029366493225
GPATCH4,0.897956848144531
HIST1H1A,0.942221105098724
TUBG1,0.748188138008118
ARPC4,0.657549798488617
CCT3,0.39546737074852
GTSE1,0.941704630851746
MAD2L1,0.712635040283203
HMOX2,0.732477784156799
PLA2G16,0.578344285488129
UBE2T,0.7205610871315
TPX2,0.751482367515564
FAM83D,1.14141881465912
FARSB,0.949807167053223
CEP112,0.799347937107086
ZWINT,0.770322024822235
CDCA8,1.00668776035309
COA6,0.519874572753906
KIF23,0.86279034614563
GPN3,0.723810613155365
TSR1,0.91289484500885
DBF4,0.881762504577637
TMEM14B,0.427552759647369
EIF2B3,1.19475650787354
FANCD2,1.43797254562378
