signature,log2FC
LINC00958,4.18297433853149
LY6D,3.10638546943665
GPR153,2.17766189575195
CYP1B1,2.07235550880432
PTGS1,2.03695631027222
MMP1,2.01915383338928
ZNF296,1.80984973907471
VPS9D1-AS1,1.71151351928711
C10orf2,1.6834489107132
AEN,1.64289844036102
PCED1B,1.59637367725372
KCNN4,1.58678901195526
CTA-29F11.1,1.58512496948242
BAIAP2L2,1.57715034484863
FOSL1,1.56886994838715
S100A14,1.56220245361328
CCDC86,1.56093442440033
CCNA1,1.54376935958862
ETV4,1.50628852844238
SLC39A14,1.48195946216583
SLC6A8,1.47966086864471
ERN1,1.40811359882355
ARL4C,1.37795174121857
URB2,1.3728814125061
DUSP6,1.35757696628571
P2RX5,1.34905743598938
KLK11,1.33940649032593
DUSP4,1.23763751983643
ETV5,1.2259134054184
MPV17L2,1.22415339946747
KRT14,1.22094810009003
LINC00941,1.21598827838898
SLC43A3,1.18858444690704
NPB,1.17586088180542
METTL1,1.16254246234894
RRS1,1.1579874753952
SLC27A4,1.14650583267212
CYSRT1,1.14406132698059
LTV1,1.13581418991089
PNO1,1.13572561740875
DCBLD2,1.12908983230591
HIST1H2BJ,1.12012386322021
NOP16,1.11633706092834
DTL,1.10662090778351
ZNF556,1.10563540458679
LYAR,1.10310125350952
CALML5,1.1012419462204
PSRC1,1.10024690628052
AFAP1-AS1,1.08612680435181
NDUFAF4,1.08554065227509
ZNF367,1.0477260351181
CCNB1,1.03121650218964
CCNE1,1.02895259857178
G0S2,1.02806925773621
UTP20,1.02517664432526
KLK5,1.02420401573181
SLC4A7,1.02079641819
TSR1,1.02001643180847
WDR43,1.01904010772705
CDC20,0.996893346309662
SPHK1,0.991558790206909
TEX40,0.989407539367676
ORC1,0.982611060142517
FAM98A,0.977278709411621
EPS15L1,0.976217150688171
DDX21,0.972472846508026
ZMYND19,0.972469449043274
KRT17,0.971413195133209
CD3EAP,0.965965986251831
PAK1IP1,0.963805258274078
YRDC,0.960447430610657
MAK16,0.955197632312775
RRP9,0.942936182022095
AXL,0.942764043807983
ANKHD1,0.933845698833466
PUM3,0.931833386421204
PROCR,0.929964125156403
CD74,0.925130486488342
FAM126A,0.921293079853058
RABEPK,0.919949352741241
HGH1,0.917713344097137
PRSS3,0.915456414222717
GRPEL1,0.915175318717957
HPCAL1,0.910330235958099
MRTO4,0.907395601272583
DDX31,0.907248198986053
NEFH,0.906067371368408
IFRD2,0.905032634735107
PDPN,0.900143206119537
DKC1,0.898392140865326
F8A3,0.896001577377319
PPAT,0.892735302448273
CAPRIN2,0.892124176025391
WDR77,0.891105473041534
SLC25A22,0.889919817447662
SLC9A3R2,0.8891242146492
NME1,0.886146664619446
IRS1,0.884528756141663
SOHLH2,0.884218454360962
RUVBL1,0.878646016120911
ENG,0.872109889984131
AIMP2,0.871068000793457
FJX1,0.861573100090027
INHBA,0.855086147785187
HSPA8,0.847967863082886
GLIPR1,0.843823611736298
MAOA,0.841075718402863
EFNB1,0.83960622549057
EIF3B,0.838044941425324
TRAF2,0.837674498558044
GEMIN5,0.837561309337616
MINA,0.836854875087738
NIFK,0.836412370204926
MKRN2,0.83227413892746
TOMM40,0.83148717880249
TMEM5,0.829437136650085
E2F1,0.827521502971649
TMEM131,0.820150971412659
NOLC1,0.819879055023193
HSPD1,0.818911850452423
CYCS,0.81854259967804
NUP35,0.816285252571106
PTGES2,0.815711975097656
DDX20,0.815576136112213
CFD,0.815545320510864
PITPNC1,0.814936459064484
CNDP2,0.811903476715088
GRWD1,0.811657309532166
FSCN1,0.811000943183899
ZNFX1,0.809700548648834
SLC29A1,0.804929435253143
EBNA1BP2,0.803596377372742
NPM3,0.797846794128418
SIN3B,0.7975714802742
DDX19A,0.795654892921448
ARHGEF19,0.794815242290497
BOP1,0.788760542869568
TXNL4B,0.784928441047669
POLE3,0.783567488193512
UBE2S,0.782824873924255
MCM10,0.780737280845642
NAT10,0.779225468635559
SRRD,0.77846223115921
RPF2,0.776964068412781
DNAJC25,0.775871813297272
ATAD3B,0.775842487812042
AGPAT5,0.774396896362305
FTSJ2,0.773889064788818
CHCHD4,0.770225346088409
POLR1E,0.768869340419769
TXLNG,0.76873242855072
NOP58,0.76789265871048
BRIX1,0.766538679599762
WDR12,0.766243159770966
IGFBP4,0.765836358070374
SERPINE2,0.763069272041321
CARM1,0.761385083198547
EXOSC6,0.760066449642181
VARS,0.758994162082672
PTTG1,0.757104694843292
TUBA1B,0.756976366043091
ALDH1B1,0.754596889019013
ASUN,0.754217267036438
CDCA7,0.753684639930725
FHL1,0.75102686882019
POLR3K,0.750751674175263
FAM25A,0.748919785022736
TCOF1,0.748297929763794
ST6GALNAC4,0.748004019260407
RPL22L1,0.746664702892304
HSPH1,0.744560062885284
CHAC2,0.743842422962189
POLR3H,0.743622303009033
PNPT1,0.7434042096138
ZNF726,0.743135154247284
DDX10,0.742739677429199
MAP4K2,0.741943359375
PPIF,0.740676641464233
ERI1,0.740324974060059
PPP1R14A,0.739870309829712
TIMM8A,0.738269925117493
EXOSC2,0.73672479391098
PRKAR1B,0.730790019035339
RPP25,0.728723406791687
KIF20A,0.726163566112518
KRT6A,0.726040482521057
DNAJA1,0.724226832389832
AREG,0.723232567310333
CCND3,0.720634579658508
SNHG15,0.720460534095764
DDX39A,0.719478845596314
PDCD11,0.718943178653717
EIF2B3,0.717627704143524
FKBP4,0.7157142162323
MAGEA6,0.71519285440445
PRPF19,0.714315831661224
LTBP3,0.714111626148224
PAQR4,0.713924944400787
CTC-524C5.2,0.713486731052399
PRMT7,0.713135778903961
WDR4,0.712961912155151
UTP14A,0.71231335401535
MIB2,0.711432933807373
ATAD1,0.708757758140564
FASTKD3,0.708613038063049
PHF19,0.70783919095993
FAR1,0.70657354593277
WDR3,0.705954551696777
COQ2,0.704344630241394
E2F3,0.703998804092407
MAEA,0.703303277492523
DCTPP1,0.702596247196198
AP1B1,0.702471971511841
C1QBP,0.699907541275024
PDCD2L,0.699739992618561
PPAN,0.698457837104797
MYC,0.698287308216095
PRPF3,0.697436392307282
SURF6,0.696791052818298
GRK6,0.696761190891266
CHORDC1,0.695586562156677
TIPIN,0.695497214794159
TIPARP,0.694381833076477
MAD2L1,0.691823184490204
MYEOV,0.691638708114624
EIF4A1,0.691372036933899
C20orf27,0.690849483013153
PLK1,0.689550459384918
MRPL32,0.688263893127441
TWISTNB,0.687943875789642
VPS52,0.684215188026428
METTL8,0.678236186504364
POP1,0.677804231643677
SNHG19,0.677571773529053
SIGMAR1,0.676318407058716
MAD1L1,0.675317883491516
PGAM5,0.673461318016052
DEGS1,0.672507464885712
DPP9,0.669981956481934
EXOSC3,0.669292151927948
FKBP14,0.669004738330841
WDR75,0.667647302150726
CEP83,0.667026996612549
ECE2,0.666369736194611
SPR,0.665168941020966
UHRF1,0.664965212345123
HSPE1,0.66443932056427
RAD51,0.66374397277832
