signature,log2FC
LINC00958,4.4680666923523
WIPF3,3.75215601921082
BAIAP2L2,3.32443404197693
MMP1,3.15182614326477
FGF19,3.0205819606781
PTGS1,3.01651859283447
SLC16A9,2.99344682693481
COL13A1,2.95376586914063
LY6D,2.90789365768433
FST,2.84489297866821
SH3PXD2A-AS1,2.79151391983032
BATF3,2.75254201889038
KCNMA1,2.72442674636841
FOSL1,2.61988830566406
PPP1R1C,2.58046436309814
SRGN,2.52563166618347
ETV4,2.47426176071167
TMEM171,2.45669317245483
NEURL1,2.42865538597107
SLC43A3,2.41208267211914
G0S2,2.37279915809631
POLR3G,2.3430118560791
ETV5,2.28715133666992
SLC35F3,2.21303772926331
MATK,2.18670344352722
NT5E,2.18350481987
MT1A,2.17649602890015
RFTN1,2.16724228858948
CYB5R2,2.14457273483276
TMEM200A,2.13015389442444
CCNA1,2.12742614746094
CCDC86,2.12124490737915
RP11-180O5.2,2.06261968612671
AXL,2.05216336250305
GAL,2.04333281517029
SRM,2.01397562026978
LINC00941,2.01292181015015
FJX1,2.00025939941406
MICAL2,1.96644496917725
SCLY,1.942666888237
IL7R,1.93013525009155
ELFN1,1.90014541149139
HBM,1.89150285720825
AREG,1.88635873794556
TEX40,1.88042831420898
ANKRD1,1.86301779747009
PAQR5,1.84880387783051
GRB10,1.84568214416504
RP11-92G12.3,1.81159031391144
FHL1,1.80911302566528
NPB,1.80622696876526
PGF,1.78708040714264
SNHG15,1.77715408802032
SPANXC,1.77233922481537
STAMBPL1,1.7594165802002
CTPS1,1.75877225399017
VPS9D1-AS1,1.75289702415466
SERPINE2,1.74261844158173
PCED1B,1.7355762720108
CYCS,1.73427855968475
NAV3,1.73342144489288
GPR153,1.71369290351868
BOP1,1.6970431804657
NME1,1.6966952085495
RP11-114H23.2,1.67719638347626
DUSP6,1.66209471225739
CDK1,1.64302098751068
TICRR,1.63677048683167
NGF,1.6363343000412
RAMP1,1.63627648353577
PAK1IP1,1.63005542755127
NOP16,1.62832713127136
DDX21,1.62570428848267
RPP40,1.62480998039246
SLC27A4,1.61398673057556
MTHFD1L,1.61306369304657
UBE2C,1.6126571893692
PNO1,1.60721004009247
ABCG2,1.60540544986725
HIST1H4C,1.60370755195618
TUBA1B,1.60031461715698
F3,1.59864091873169
CD3EAP,1.5924015045166
STC2,1.59201812744141
HAS2,1.59101891517639
TBC1D4,1.59059381484985
TRPM2,1.58206868171692
TFPI2,1.58000957965851
MFSD2A,1.57924389839172
DDIAS,1.56852579116821
NRSN2,1.55396699905396
LAYN,1.55223333835602
RRP12,1.5469241142273
NTMT1,1.54690170288086
TCOF1,1.53951263427734
TUBB4B,1.53564167022705
PDCD2L,1.53442931175232
LINC01615,1.52938055992126
RIOK1,1.52490067481995
NRG1,1.52481281757355
ALOX12,1.52453052997589
CFD,1.52283322811127
AMZ1,1.50949037075043
TOMM40,1.50850367546082
LYAR,1.50429010391235
PPIF,1.4947921037674
PAPPA,1.48785364627838
TUBA1C,1.48775339126587
NPM3,1.48650705814362
C9orf40,1.48345816135407
ATAD3B,1.48206377029419
HGH1,1.48164165019989
ERVMER34-1,1.4778767824173
GYLTL1B,1.46731054782867
HSPA8,1.46497917175293
SLC19A1,1.46470975875855
RRS1,1.46285676956177
NDUFAF2,1.46094536781311
KAZN,1.45928204059601
UBE2S,1.45384347438812
IFRD2,1.44196045398712
METTL8,1.4411301612854
SLC25A15,1.43971991539001
RRM2,1.43823003768921
PLCB2,1.43061661720276
INHBA,1.43004834651947
KHDC1L,1.42232978343964
SLC29A1,1.42177128791809
PDCD11,1.4155193567276
ACOT7,1.40770852565765
SCFD2,1.40603268146515
HNRNPAB,1.40599918365479
SURF2,1.40339994430542
RP11-416N2.4,1.40300011634827
TAF5,1.4014755487442
PHLDA2,1.39690685272217
BCYRN1,1.3937520980835
WDR5,1.39105606079102
PINX1,1.39075040817261
SLC5A6,1.3885612487793
CD74,1.38839614391327
CKB,1.38815689086914
NOP56,1.38537037372589
UBE2M,1.38301312923431
ICAM2,1.38166272640228
HIST1H1A,1.38087737560272
CDC42EP5,1.38066256046295
KLK5,1.38011980056763
CTC-524C5.2,1.37970316410065
CHAC2,1.37868642807007
RP11-500C11.3,1.37841439247131
EEF2KMT,1.37788307666779
MTHFD2,1.37760984897614
AIMP2,1.37730860710144
TM4SF19,1.37686967849731
SDCCAG3,1.3723052740097
TMEM255B,1.37099468708038
CENPP,1.37049520015717
PSAT1,1.36777305603027
PUS1,1.3676438331604
PTGES2,1.36740505695343
RP11-132A1.4,1.36583590507507
RNASEH1-AS1,1.36312222480774
MPP6,1.3622180223465
PNPT1,1.36049866676331
DENND1A,1.36020421981812
XRCC3,1.35923624038696
BST2,1.35584104061127
IL11,1.35554385185242
HOXD13,1.3540164232254
LETM2,1.35364258289337
MFSD12,1.34632158279419
CTU1,1.34462451934814
HIST2H2AC,1.34367179870605
GPAT3,1.34169054031372
C10orf2,1.3388249874115
RHOF,1.3386162519455
UPP1,1.33721923828125
GRWD1,1.33608174324036
LRP8,1.33552098274231
ZNF296,1.33366203308105
GSTCD,1.33282721042633
DUSP4,1.33179020881653
HSPA9,1.33065164089203
YKT6,1.32990169525146
CCDC88B,1.3291597366333
HMGA1,1.32825255393982
GLIPR1,1.32536566257477
CCL26,1.32344388961792
CPNE8,1.31923532485962
MRTO4,1.31612265110016
IL32,1.31353795528412
PGP,1.31031703948975
TNFRSF12A,1.3083975315094
AVEN,1.30652153491974
POLD2,1.30642902851105
PDPN,1.30523765087128
ZMYND19,1.30506765842438
ST6GALNAC4,1.30195581912994
NOC3L,1.3003785610199
PPP1R14B,1.2995537519455
FAM25A,1.29537343978882
MYBBP1A,1.29352211952209
CCDC85B,1.29275584220886
