signature,log2FC
DIO2,-2.51139068603516
IVL,-2.3467288017273
SEMA5A,-2.02714800834656
SCEL,-1.80274832248688
SPON2,-1.79814803600311
CALML5,-1.73859179019928
AC006262.5,-1.66927921772003
CLIC3,-1.64096677303314
KMO,-1.62077069282532
KRT13,-1.59175252914429
SMPDL3A,-1.57469820976257
TPPP3,-1.5678745508194
LCN2,-1.56310474872589
ALOX5,-1.49246490001678
LY6D,-1.46304106712341
IGFBP3,-1.45208501815796
ZG16B,-1.43949449062347
PDPN,-1.41900753974915
PLEKHG4B,-1.40745639801025
RPL3L,-1.40385508537292
C1orf21,-1.40283799171448
TNFSF10,-1.37094795703888
SOSTDC1,-1.36856269836426
MMP13,-1.32120418548584
BASP1,-1.23394000530243
PBXIP1,-1.22563433647156
ALDH3A1,-1.21720373630524
WFDC2,-1.19519484043121
C1QTNF2,-1.17996346950531
TCEA3,-1.15466713905334
GPNMB,-1.14631175994873
KRT17,-1.14030408859253
AGR2,-1.1236332654953
PBX1,-1.11975955963135
BTG2,-1.1043872833252
SOX4,-1.1034996509552
SORL1,-1.08817231655121
CLEC2B,-1.07477903366089
UNC5B-AS1,-1.06913650035858
COL7A1,-1.06851077079773
PNRC1,-1.06456863880157
SPOCK1,-1.05588102340698
ADGRE1,-1.03027248382568
COL12A1,-1.00832676887512
RBP1,-0.995758414268494
TLN2,-0.980182647705078
CCNG2,-0.956323742866516
HSPA2,-0.949441194534302
LYPD6B,-0.948852598667145
TUBA1A,-0.940196096897125
KRT5,-0.937717258930206
UPK3B,-0.918673038482666
KRT14,-0.917370617389679
OPN3,-0.913426637649536
CTSH,-0.907314538955688
CD24,-0.892209589481354
KLK1,-0.888304889202118
COL5A2,-0.887222170829773
HCAR2,-0.883788764476776
DPYSL2,-0.87525075674057
DAB2,-0.869949996471405
DHRS3,-0.84915691614151
GATA2-AS1,-0.849091649055481
AHNAK2,-0.847873747348785
KLK11,-0.842649877071381
CCDC80,-0.838632225990295
B3GALT4,-0.832408428192139
KRT15,-0.819179594516754
NEDD9,-0.815522134304047
DAAM1,-0.799891233444214
TP53TG1,-0.797500848770142
BDH2,-0.785359442234039
SMCO4,-0.777709901332855
TMEM52B,-0.766344547271729
ANXA6,-0.761312782764435
SYNE2,-0.75800758600235
IFI6,-0.757585108280182
ANKH,-0.756791591644287
IFT81,-0.752894639968872
PROC,-0.747941851615906
SNHG18,-0.732502639293671
FXYD3,-0.728580951690674
TLE4,-0.721165895462036
CD74,-0.716894805431366
MAGED2,-0.71251118183136
GLUL,-0.702153384685516
IGFBP6,-0.698512017726898
MALAT1,-0.681172132492065
MMP14,-0.679067015647888
ODF2L,-0.676374793052673
BCAM,-0.665403962135315
SEMA3C,-0.665096163749695
SAMD9L,-0.663694024085999
CDH18,-0.66334068775177
AAMDC,-0.65915846824646
BST2,-0.656585037708283
LBH,-0.655434370040894
INSIG1,-0.655024528503418
CCDC127,-0.652780473232269
LMO4,-0.64036238193512
PDCD4,-0.639836430549622
SNRPN,-0.638874053955078
MFGE8,-0.634010553359985
PALLD,-0.63382625579834
SNCG,-0.632479965686798
MDK,-0.626673460006714
C15orf41,-0.625831305980682
UNC5B,-0.624020457267761
ST6GALNAC2,-0.623112916946411
SKIL,-0.622097432613373
