signature,log2FC
TBC1D30,2.34718656539917
HOXD13,2.18713212013245
ELFN2,1.88657140731812
HES7,1.77448201179504
PGF,1.69383358955383
TLX3,1.63530039787292
FOXD3-AS1,1.5922155380249
FHL1,1.58901834487915
RRS1,1.58847391605377
IRAK1,1.54258215427399
PRRT3-AS1,1.52719104290009
FAM216A,1.50209653377533
POLR3G,1.49791920185089
LINC00941,1.47403264045715
VPS9D1-AS1,1.46970593929291
NDUFAF4,1.45617878437042
G0S2,1.44220352172852
UTP14A,1.43662881851196
GAL,1.38373732566834
SCLY,1.36330986022949
GALR2,1.31305778026581
CTAG2,1.31046521663666
HAUS7,1.30620384216309
SLCO4A1,1.30328547954559
PNO1,1.30022597312927
CTU1,1.29831528663635
CCNA1,1.28926002979279
MAP7D3,1.27982878684998
ETV5,1.2507963180542
LYAR,1.2417083978653
NUDT19,1.23163282871246
SLC25A33,1.21653258800507
PGAM5,1.21121513843536
RABEPK,1.20829975605011
SRGN,1.20230150222778
NOP16,1.20031571388245
NAA10,1.18931210041046
ETV4,1.18734788894653
ANKS6,1.18286347389221
FBRSL1,1.18091070652008
ZNF296,1.17688894271851
SLC6A8,1.17393743991852
ECE2,1.16725504398346
CDC42EP2,1.16020584106445
CCDC86,1.15346360206604
WDR43,1.14431893825531
FST,1.11052179336548
INHBB,1.10942769050598
SNX18,1.10878479480743
PI4K2A,1.10861420631409
C10orf2,1.10684466362
ZNF771,1.10649442672729
DUSP5,1.10475838184357
PTRH2,1.07989931106567
GPAT3,1.07567119598389
TSEN2,1.06761848926544
MYBBP1A,1.06696009635925
RBM15,1.05760514736176
LTV1,1.05493462085724
DDX21,1.05380129814148
PPRC1,1.05295956134796
FAM86C1,1.04919040203094
DKC1,1.03749597072601
IL1A,1.03288698196411
SRM,1.02990591526032
P2RX5,1.0198392868042
FOSL1,1.01871478557587
BSPRY,1.01629877090454
CXorf40B,1.01364231109619
CLDN3,1.01152968406677
COL12A1,-1.00832676887512
ADGRE1,-1.03027248382568
SPOCK1,-1.05588102340698
PNRC1,-1.06456863880157
COL7A1,-1.06851077079773
UNC5B-AS1,-1.06913650035858
CLEC2B,-1.07477903366089
SORL1,-1.08817231655121
SOX4,-1.1034996509552
BTG2,-1.1043872833252
PBX1,-1.11975955963135
AGR2,-1.1236332654953
KRT17,-1.14030408859253
GPNMB,-1.14631175994873
TCEA3,-1.15466713905334
C1QTNF2,-1.17996346950531
WFDC2,-1.19519484043121
ALDH3A1,-1.21720373630524
PBXIP1,-1.22563433647156
BASP1,-1.23394000530243
MMP13,-1.32120418548584
SOSTDC1,-1.36856269836426
TNFSF10,-1.37094795703888
C1orf21,-1.40283799171448
RPL3L,-1.40385508537292
PLEKHG4B,-1.40745639801025
PDPN,-1.41900753974915
ZG16B,-1.43949449062347
IGFBP3,-1.45208501815796
LY6D,-1.46304106712341
ALOX5,-1.49246490001678
LCN2,-1.56310474872589
TPPP3,-1.5678745508194
SMPDL3A,-1.57469820976257
KRT13,-1.59175252914429
KMO,-1.62077069282532
CLIC3,-1.64096677303314
AC006262.5,-1.66927921772003
CALML5,-1.73859179019928
SPON2,-1.79814803600311
SCEL,-1.80274832248688
SEMA5A,-2.02714800834656
IVL,-2.3467288017273
DIO2,-2.51139068603516
