signature,log2FC
TBC1D30,2.34718656539917
HOXD13,2.18713212013245
ELFN2,1.88657140731812
HES7,1.77448201179504
PGF,1.69383358955383
TLX3,1.63530039787292
FOXD3-AS1,1.5922155380249
FHL1,1.58901834487915
RRS1,1.58847391605377
IRAK1,1.54258215427399
PRRT3-AS1,1.52719104290009
FAM216A,1.50209653377533
POLR3G,1.49791920185089
LINC00941,1.47403264045715
VPS9D1-AS1,1.46970593929291
NDUFAF4,1.45617878437042
G0S2,1.44220352172852
UTP14A,1.43662881851196
GAL,1.38373732566834
SCLY,1.36330986022949
GALR2,1.31305778026581
CTAG2,1.31046521663666
HAUS7,1.30620384216309
SLCO4A1,1.30328547954559
PNO1,1.30022597312927
CTU1,1.29831528663635
CCNA1,1.28926002979279
MAP7D3,1.27982878684998
ETV5,1.2507963180542
LYAR,1.2417083978653
NUDT19,1.23163282871246
SLC25A33,1.21653258800507
PGAM5,1.21121513843536
RABEPK,1.20829975605011
SRGN,1.20230150222778
NOP16,1.20031571388245
NAA10,1.18931210041046
ETV4,1.18734788894653
ANKS6,1.18286347389221
FBRSL1,1.18091070652008
ZNF296,1.17688894271851
SLC6A8,1.17393743991852
ECE2,1.16725504398346
CDC42EP2,1.16020584106445
CCDC86,1.15346360206604
WDR43,1.14431893825531
FST,1.11052179336548
INHBB,1.10942769050598
SNX18,1.10878479480743
PI4K2A,1.10861420631409
C10orf2,1.10684466362
ZNF771,1.10649442672729
DUSP5,1.10475838184357
PTRH2,1.07989931106567
GPAT3,1.07567119598389
TSEN2,1.06761848926544
MYBBP1A,1.06696009635925
RBM15,1.05760514736176
LTV1,1.05493462085724
DDX21,1.05380129814148
PPRC1,1.05295956134796
FAM86C1,1.04919040203094
DKC1,1.03749597072601
IL1A,1.03288698196411
SRM,1.02990591526032
P2RX5,1.0198392868042
FOSL1,1.01871478557587
BSPRY,1.01629877090454
CXorf40B,1.01364231109619
CLDN3,1.01152968406677
BOP1,0.997674405574799
POLR1B,0.997080445289612
DHX33,0.991963744163513
ATP11C,0.991473138332367
FAM58A,0.988698482513428
RPF2,0.979861259460449
SFXN4,0.971879482269287
GRIN2D,0.96649569272995
SIX1,0.963142573833466
VGLL1,0.95954304933548
PUS1,0.956686794757843
CTXN1,0.955265164375305
MRTO4,0.95383608341217
TRMT6,0.948562800884247
RNASEH1-AS1,0.941750586032867
MTHFD1L,0.941514372825623
NSDHL,0.93824577331543
SNHG21,0.93531209230423
RPP40,0.930566906929016
DDX10,0.926778078079224
PLK3,0.926514983177185
RILP,0.925486385822296
IKBKG,0.923538625240326
PPIF,0.919503092765808
VARS,0.913743019104004
ZNF593,0.907168388366699
SLC5A6,0.906567275524139
SRPRB,0.904776394367218
ENDOG,0.903870463371277
RRP12,0.903605699539185
HGH1,0.901699185371399
NIFK,0.90153956413269
MAGEA12,0.899317920207977
DHX37,0.899031519889832
SDCCAG3,0.898981094360352
TMEM187,0.898796916007996
PNPT1,0.893706977367401
TIMM8A,0.892745912075043
SLC25A19,0.891711354255676
WDR3,0.890961945056915
SDE2,0.88975977897644
HTATSF1,0.885423302650452
TRMT61A,0.885025262832642
PPAN,0.884616374969482
ENOX2,0.884275794029236
CHCHD4,0.883791565895081
HS6ST2,0.880415081977844
GALNT14,0.879124224185944
FAM122B,0.876607537269592
SOHLH2,0.875358521938324
NAT10,0.874177098274231
DPH2,0.874088227748871
CGREF1,0.873016059398651
RRP8,0.872762799263001
ELF4,0.870562553405762
ZRANB1,0.869951069355011
PPAT,0.869112730026245
EMD,0.868120968341827
BYSL,0.867793798446655
CCT7,0.863392293453217
SLC25A32,0.863111853599548
MYC,0.861861824989319
TUBE1,0.860411047935486
RBMX2,0.859472453594208
DDX55,0.858678221702576
MFSD12,0.858356356620789
NPM3,0.855428636074066
SNHG15,0.852566480636597
ADCK3,0.852457582950592
OXNAD1,0.85107809305191
FJX1,0.850337743759155
HPRT1,0.849869787693024
CTU2,0.849502861499786
NSMF,0.84567391872406
AIFM1,0.844586312770844
SPATA20,0.844200849533081
ZNF330,0.843618452548981
PCOLCE2,0.842645823955536
RUVBL1,0.842613101005554
TFCP2,0.839236736297607
EDEM1,0.838172256946564
EIF3B,0.835650444030762
RIOK1,0.834699630737305
MRPS17,0.830613791942596
TRIM14,0.830185651779175
WDR77,0.82674115896225
TRIB3,0.826407372951508
ATAD3B,0.825358688831329
FAM27C,0.824742555618286
BIN1,0.821582078933716
FAM3A,0.820863783359528
MAGEA6,0.820399820804596
PROCR,0.820392549037933
CD3EAP,0.819430947303772
GSK3A,0.817822694778442
UTP15,0.816908299922943
RSL1D1,0.81680178642273
ENKD1,0.814596176147461
HACL1,0.813894987106323
MRPS25,0.813718974590302
LSM10,0.813611388206482
MAGEA4,0.813431620597839
NKIRAS1,0.813310146331787
HBEGF,0.813055813312531
DMWD,0.812794506549835
TMEM185A,0.808566987514496
EEF2KMT,0.806447923183441
DCTPP1,0.805126488208771
PIGL,0.804311096668243
NME1,0.803537309169769
PINX1,0.79730486869812
NLE1,0.796663701534271
GEMIN4,0.79524701833725
AIMP2,0.795097529888153
UBL4A,0.792884707450867
DUSP4,0.79203873872757
C1QBP,0.789463043212891
BCS1L,0.787977278232575
ASUN,0.785445630550385
NPW,0.785058498382568
IDS,0.785042583942413
VMA21,0.784692943096161
MIEF1,0.784362614154816
MPP1,0.783695220947266
MAK16,0.783550500869751
ST6GALNAC4,0.783406674861908
CAD,0.781697928905487
YARS,0.780840873718262
BCCIP,0.779844284057617
CAMK1,0.778703093528748
PREB,0.777890086174011
TRAF3IP1,0.777742147445679
MICAL2,0.777104437351227
PUS3,0.77668434381485
SLC27A5,0.775816857814789
RRP9,0.775696694850922
PDCD2L,0.774320662021637
GRPEL1,0.773780524730682
USP36,0.773529767990112
IMP4,0.772808492183685
FASTKD3,0.772604823112488
AREG,0.772010028362274
PSMB10,0.771594107151032
EBNA1BP2,0.771084010601044
LRPPRC,0.770825624465942
RP11-1094M14.11,0.770805776119232
GPATCH4,0.770800352096558
GPR89A,0.770726978778839
YRDC,0.769476652145386
FAM207A,0.769462585449219
PAK1IP1,0.766671776771545
MINA,0.766238629817963
MPV17L2,0.76426100730896
METTL8,0.764136970043182
NOP2,0.762063980102539
RP11-445F12.1,0.760852098464966
BCAP31,0.760386228561401
TMLHE,0.760019183158875
SH3BP5,0.760006368160248
N6AMT2,0.759348809719086
IPO4,0.758510410785675
TBRG4,0.757376134395599
CLEC2L,0.753230929374695
EXOSC2,0.752949178218842
PPP1R14A,0.749852240085602
COA7,0.749172151088715
PSMD14,0.746520161628723
TAZ,0.746419847011566
ABCF2,0.745885491371155
DOHH,0.744910478591919
DPH3,0.744081258773804
TUBB2B,0.742801785469055
SURF2,0.742473423480988
GTPBP6,0.740392446517944
PES1,0.738854825496674
TEX40,0.73864096403122
ASB1,0.738196432590485
GEMIN6,0.736861109733582
MAGEA3,0.736152291297913
FXN,0.735945343971252
SERGEF,0.733566045761108
FLNA,0.732990324497223
IFRD2,0.73023384809494
CCDC57,0.729263424873352
PITPNA,0.727031230926514
POLR3K,0.725557923316956
PUM3,0.72396993637085
ZNHIT2,0.722744405269623
WDR74,0.722299933433533
POLR3E,0.720282316207886
DCAF13,0.719914019107819
MRPL32,0.719902336597443
AIFM2,0.71906578540802
BDNF,0.718773186206818
QTRTD1,0.716674447059631
FAM136A,0.716029763221741
GFOD2,0.715663850307465
PVT1,0.714075148105621
KIFC3,0.712064385414124
SPATA5L1,0.711905658245087
RBM28,0.711777806282044
GLRX2,0.710843861103058
CHAC2,0.709470868110657
DCUN1D5,0.70918345451355
SIGMAR1,0.707910060882568
NOC3L,0.707610309123993
WDR55,0.707365572452545
TMEM120B,0.707191467285156
C20orf27,0.706651508808136
JMJD4,0.706259250640869
TSPAN17,0.704174220561981
NPLOC4,0.702310800552368
SAAL1,0.701643586158752
ALKBH2,0.701537787914276
LAGE3,0.701308071613312
ARMC6,0.69982635974884
SP3,0.699111819267273
SCO2,0.697921276092529
POP5,0.696966409683228
KHK,0.695992410182953
PFDN2,0.69472861289978
TRPM2,0.694251716136932
CHCHD10,0.693852365016937
KAZN,0.693625330924988
HOMER1,0.693065345287323
LDOC1,0.691915035247803
DHODH,0.691598355770111
AFMID,0.690417110919952
CSAG1,0.690045356750488
CNOT11,0.689321219921112
C16orf91,0.687814235687256
NSMCE3,0.685898840427399
TWISTNB,0.684939384460449
HMOX2,0.684782803058624
NOP56,0.684238851070404
VBP1,0.683962225914002
UBE2S,0.683521509170532
PDLIM2,0.681259632110596
TRNT1,0.681001961231232
LMO2,0.68003511428833
ALG3,0.679424047470093
CUTC,0.679085075855255
MAGEA9B,0.678194463253021
C5orf28,0.678059160709381
PSMA1,0.676211774349213
FAM195A,0.67616069316864
KBTBD7,0.674506545066834
GCFC2,0.673509776592255
EMC8,0.672964870929718
EREG,0.672813355922699
IGHMBP2,0.672283053398132
TRIM7,0.672254323959351
AGFG1,0.671145737171173
NOB1,0.670668303966522
NOP14,0.668927609920502
HSPD1,0.668285548686981
RGS20,0.668004512786865
EXOSC4,0.666805148124695
RP11-345J4.5,0.665372014045715
MFAP5,0.665238320827484
CMSS1,0.665124118328095
SLC19A1,0.664319157600403
SPRYD7,0.662884473800659
PRPF19,0.662007629871368
PLGRKT,0.661592185497284
DDX28,0.661261081695557
TIMM44,0.66070544719696
SLC10A3,0.660475850105286
MRPL12,0.659598767757416
PTPN20,0.659570932388306
SH3BP4,0.65948611497879
PSME3,0.657697558403015
MTIF2,0.657410502433777
RRP15,0.657294094562531
CENPV,0.656851410865784
RPS19BP1,0.655333518981934
SLC27A4,0.654568612575531
LRRC14,0.654541850090027
TRIB1,0.653618216514587
BRE,0.65140038728714
PSME2,0.649675011634827
RGS14,0.648012459278107
NT5E,0.647462248802185
TMEM52,0.647436559200287
DDX18,0.647200465202332
FOXRED2,0.646435558795929
MRPL4,0.646075129508972
SMAGP,0.64597749710083
PDCD11,0.645392954349518
SLC35B4,0.645039498806
ANKRD1,0.644684076309204
FARSB,0.643873572349548
F12,0.643820524215698
SMURF2,0.64346718788147
RGCC,0.6426220536232
BRCC3,0.64156711101532
PRADC1,0.641534328460693
PTGES2,0.641037404537201
POP1,0.638739407062531
RNASEH1,0.637493789196014
C12orf45,0.636390388011932
DUS1L,0.636055707931519
WDR4,0.63534289598465
COQ2,0.634525299072266
STC2,0.634142577648163
PHF6,0.633201360702515
UBE3D,0.632805109024048
C12orf73,0.632759809494019
FAM50A,0.631114304065704
ATIC,0.628126323223114
POLR1C,0.627606868743897
MMGT1,0.626626193523407
HSD11B1L,0.626589119434357
ENDOD1,0.626490592956543
MMP1,0.625866115093231
IDH3G,0.625380873680115
SSB,0.624691545963287
SERPINE2,0.622222483158112
NAA15,0.621425628662109
MYEF2,0.621188759803772
TIMM10,0.620502829551697
WDR36,0.620148360729218
WDR75,0.619468033313751
FKBP4,0.61924535036087
ERCC2,0.618931531906128
UTP4,0.617804884910584
HCCS,0.616868078708649
DIMT1,0.616572439670563
CEP83,0.615931451320648
UTP6,0.615660488605499
SAPCD2,0.614485025405884
CDC34,0.614459455013275
CLN6,0.614354908466339
BAG2,0.613190948963165
TRAP1,0.612996339797974
NCBP2,0.612477600574493
GRWD1,0.612230896949768
DESI1,0.612216413021088
METTL3,0.611997902393341
RRP1,0.611344933509827
SRRD,0.610851645469666
PSMG4,0.610633194446564
BNIP1,0.608070969581604
PRMT3,0.607348084449768
UTP23,0.607001841068268
CD320,0.606431245803833
PYCRL,0.606212437152863
EXOSC3,0.605679988861084
NDUFAF2,0.605533838272095
PHB,0.605128049850464
SERPINB2,0.605030953884125
MCCC2,0.604915678501129
MRPL24,0.60451465845108
BAK1,0.603001832962036
CHORDC1,0.602732419967651
MAP2K3,0.601527571678162
POLR1E,0.601308822631836
TXLNG,0.600830078125
EIF2B2,0.600410759449005
NOL10,0.599729716777802
METTL1,0.599291265010834
NHP2,0.599008560180664
DNAJA4,0.598989009857178
ZHX1,0.598853528499603
GUF1,0.598590195178986
C16orf52,0.597645282745361
WDR46,0.596610724925995
ODC1,0.596221625804901
THBS1,0.596099853515625
MKNK2,0.596040964126587
THOC2,0.595834195613861
G6PD,0.595645785331726
STK26,0.59564197063446
PDDC1,0.594490468502045
HYI,0.593202114105225
EIF2S1,0.593159377574921
SLC25A10,0.592414379119873
TAF10,0.591740667819977
L3HYPDH,0.591690301895142
GNPNAT1,0.591404795646668
TFAM,0.591051757335663
ABHD14B,0.590911984443665
ATP5G3,0.589195847511292
ATP5G1,0.589010775089264
