signature,log2FC
LINC00958,4.84194850921631
LINC00973,3.73741769790649
SRGN,3.51231074333191
TGM2,3.18854188919067
RP11-350J20.12,3.10579371452332
FHL1,2.99788093566895
COL13A1,2.92357754707336
PTGS1,2.8970742225647
WIPF3,2.85257792472839
ETV4,2.83527517318726
BAIAP2L2,2.82165503501892
BATF3,2.75484108924866
EBF3,2.74880027770996
ETV1,2.71729016304016
FOSL1,2.59060263633728
MMP1,2.57028317451477
SH3PXD2A-AS1,2.42268776893616
NEURL1,2.41350984573364
ETV5,2.39189577102661
THY1,2.38623642921448
G0S2,2.38445067405701
JPH3,2.35461950302124
PPP1R1C,2.33562183380127
FST,2.33475565910339
KLRG2,2.28692603111267
PGF,2.25717163085938
LY6D,2.22263836860657
TMEM171,2.20959329605103
INA,2.20684623718262
SLC35F3,2.20462608337402
LINC00941,2.19427108764648
POLR3G,2.1930935382843
ADTRP,2.15805220603943
CCBE1,2.15020942687988
ANKRD1,2.14920282363892
KCNMA1,2.13290524482727
AJAP1,2.09260058403015
CCNA1,2.05828619003296
GAL,2.03579187393188
MICAL2,2.03323578834534
TMEM200A,2.01115226745605
HBM,2.0081479549408
