signature,log2FC
LINC00958,4.81573104858398
SRGN,3.31791806221008
LINC00973,3.31402897834778
RP11-350J20.12,3.28640413284302
TGM2,3.07323312759399
FHL1,2.8006227016449
COL13A1,2.79985547065735
PTGS1,2.66151928901672
ETV1,2.64207148551941
WIPF3,2.58792567253113
ETV4,2.48831653594971
BAIAP2L2,2.4423553943634
LY6D,2.36785840988159
FOSL1,2.32713651657105
MMP1,2.2746479511261
EBF3,2.26788473129272
THY1,2.23156261444092
JPH3,2.21052646636963
ETV5,2.19314169883728
PGF,2.19149518013001
BATF3,2.13894748687744
G0S2,2.13211989402771
CCBE1,2.1280574798584
KLRG2,2.11813235282898
SH3PXD2A-AS1,2.11022567749023
ADTRP,2.10615921020508
NEURL1,2.0613865852356
TMEM171,2.05691194534302
SLC35F3,2.05295157432556
TMEM200A,2.04455327987671
INA,1.99771106243134
LINC00941,1.91055953502655
FST,1.84981834888458
POLR3G,1.84097516536713
CLDN9,1.83627045154572
ABCG2,1.81535077095032
CCNA1,1.81032955646515
ANKRD1,1.80569839477539
HLA-G,1.7980180978775
PPP1R1C,1.79603898525238
OXTR,1.77665889263153
SLC43A3,1.76689350605011
CCDC86,1.75606143474579
TEX40,1.74395251274109
GAL,1.72548186779022
MICAL2,1.71949970722198
KISS1R,1.71887600421906
KCNMA1,1.71524691581726
C2orf61,1.70708084106445
AXL,1.69871807098389
RFTN1,1.69308435916901
HAUS7,1.68036758899689
AREG,1.66634130477905
SERPINE2,1.65886735916138
SMIM10,1.64972770214081
HBM,1.62837624549866
MATK,1.62781512737274
MT1A,1.61310565471649
MFSD2A,1.60891532897949
IRAK1,1.60093259811401
RP11-114H23.2,1.59351491928101
SLC27A4,1.57602453231812
NT5E,1.57313501834869
IL32,1.56876969337463
IL7R,1.54797756671906
BSPRY,1.53771209716797
PCED1B,1.53123593330383
NTSR1,1.53068089485168
PAQR5,1.52842593193054
PNO1,1.52581965923309
VPS9D1-AS1,1.50389754772186
KAZN,1.50016760826111
NRP1,1.49751055240631
PAPPA,1.49531126022339
RAMP1,1.48952722549438
PRRT3-AS1,1.48453938961029
MESP1,1.47992956638336
CTC-260E6.6,1.47970700263977
EBI3,1.47925281524658
AJAP1,1.47901391983032
GPR153,1.47191798686981
NTM,1.46949625015259
RPP40,1.46639168262482
ARNTL,1.46539402008057
C10orf2,1.46394610404968
SOCS2,1.46394157409668
CYB5R2,1.4581972360611
FUT4,1.45740365982056
SRM,1.45577895641327
ALOX12,1.45490264892578
TBC1D30,1.44552361965179
DDX21,1.43605554103851
AEN,1.4332720041275
PAK1IP1,1.43305563926697
CCNE1,1.43144774436951
SPANXC,1.42939984798431
GALR2,1.42812180519104
CD3EAP,1.42773592472076
CTPS1,1.42723214626312
PDCD2L,1.41883540153503
NME1,1.41715800762177
SCLY,1.41700279712677
FAM58A,1.40857458114624
KCNJ12,1.405104637146
LGALS9C,1.40339601039886
CD163L1,1.39868533611298
DKC1,1.39296329021454
FLJ36000,1.3921035528183
LAYN,1.39022815227509
NAA10,1.38367140293121
NGEF,1.38077187538147
HPCAL1,1.37911736965179
RIOK1,1.37761068344116
UTP14A,1.37284767627716
BOP1,1.3721489906311
ATAD3B,1.36960971355438
HES7,1.36367475986481
TRPM2,1.36321115493774
CAMK1,1.35885810852051
NOP16,1.35782241821289
SPANXD,1.355428814888
KLK5,1.35481095314026
DUSP6,1.3539023399353
TCOF1,1.35036706924438
GPAT3,1.34993994235992
PPIF,1.34490764141083
ATAD3C,1.34354686737061
ADAM8,1.34291934967041
SLC6A8,1.34227216243744
DDIAS,1.34116339683533
AC003075.4,1.33396697044373
DENND2A,1.3264696598053
URB2,1.3261581659317
STAMBPL1,1.32290136814117
TUBA1B,1.31896734237671
HPDL,1.31726741790771
DUSP4,1.30520796775818
FJX1,1.30109322071075
CYCS,1.3004641532898
SLC29A1,1.29952776432037
SCFD2,1.2948876619339
HAS2,1.29318559169769
HPRT1,1.29224026203156
SAAL1,1.29157102108002
LYAR,1.29043531417847
CHAC2,1.28224790096283
CST6,1.28222179412842
SH2B3,1.28105902671814
HSPA8,1.28029227256775
DCBLD2,1.27893400192261
CFD,1.27844738960266
RRS1,1.27843248844147
MTHFD1L,1.27633774280548
ELFN1,1.26915216445923
INHBA,1.26751387119293
ZMYND19,1.25554633140564
HGH1,1.25493955612183
RHOF,1.24937474727631
NTMT1,1.24612760543823
NDUFAF4,1.24584555625916
CLSPN,1.24286603927612
NSMF,1.24142348766327
PITPNC1,1.24065887928009
SEMA3A,1.24001562595367
HSPH1,1.23925137519836
CCT7,1.23712265491486
WNT7A,1.23395943641663
UBE2S,1.2303878068924
NPM3,1.22923803329468
TUBB4B,1.22816872596741
NGF,1.22716510295868
QPCT,1.22550940513611
PHLDA2,1.2251296043396
BNIP3,1.22207832336426
RP11-132A1.4,1.22056019306183
NEFH,1.22013258934021
CDC45,1.21867907047272
PGAM5,1.21411108970642
RP11-416N2.4,1.21324479579926
CKB,1.21208965778351
ZNF296,1.21054255962372
RNASEH1-AS1,1.20892858505249
PTGES2,1.20801532268524
TAF5,1.20598828792572
PDK1,1.20495235919952
CYSRT1,1.20309281349182
SNHG15,1.19835066795349
MAP7D3,1.19764530658722
STC2,1.19420945644379
CD74,1.1938568353653
TOMM40,1.19173657894135
NDUFAF2,1.18825471401215
TRMT6,1.18708598613739
HNRNPAB,1.18416011333466
SACS,1.17855143547058
AIMP2,1.17836701869965
ENDOG,1.17544889450073
ACOT7,1.17454016208649
FKBP5,1.1731641292572
HSPD1,1.17081677913666
PPAT,1.17040383815765
ST6GALNAC4,1.16552627086639
OXNAD1,1.16455471515656
RRP9,1.16346764564514
RRM2,1.15980052947998
SDCCAG3,1.15929925441742
RABEPK,1.15818881988525
