signature,log2FC
SPRR1B,-5.06604385375977
SPTSSB,-4.75235509872437
DEFB1,-3.77919983863831
CALML5,-3.25201678276062
C8orf4,-3.18279457092285
HBE1,-3.0625364780426
GJB6,-2.72503209114075
EPHB6,-2.61386108398438
VILL,-2.52740097045898
S100P,-2.37770223617554
S100A14,-2.35757327079773
KRT13,-2.31750178337097
FOLR1,-2.23826837539673
MUC4,-2.01622772216797
BCAS1,-2.01575326919556
PALMD,-1.9742249250412
PPP2R2B,-1.97077465057373
RP1-124C6.1,-1.87503778934479
DIO2,-1.86973524093628
NKX2-8,-1.6979056596756
GJB2,-1.67012763023376
DISP2,-1.65963685512543
CLDN8,-1.62012457847595
HPGD,-1.60131466388702
RP11-128M1.1,-1.54980742931366
DAPK2,-1.54340839385986
PCAT6,-1.50508892536163
IVL,-1.48412072658539
RP11-11N9.4,-1.44914257526398
CTSH,-1.35296976566315
CNFN,-1.33538830280304
IL20RA,-1.29223930835724
SEPP1,-1.29097461700439
PBXIP1,-1.28923618793488
SAMD4A,-1.28038430213928
IGFBP3,-1.27517640590668
BTG2,-1.25060725212097
ALDH3A1,-1.23070442676544
LMO4,-1.22743189334869
MMP13,-1.22281384468079
AGR2,-1.22144913673401
RBPMS,-1.21278548240662
TNFSF10,-1.20037984848022
SEMA5A,-1.18891477584839
CTA-29F11.1,-1.1796019077301
MT1F,-1.17695307731628
ZG16B,-1.17026245594025
KCNK6,-1.15654301643372
RP11-736N17.11,-1.13705456256866
CYP1B1,-1.13291001319885
LYPD6B,-1.12889897823334
GLUL,-1.12109744548798
TOM1L2,-1.11255097389221
MAML2,-1.07292604446411
SLC12A2,-1.06512844562531
RP11-490M8.1,-1.06188535690308
SLITRK6,-1.04587030410767
PLCXD2,-1.04516994953156
SYT1,-1.03754615783691
TXNIP,-1.03725552558899
TMEM45B,-1.02319693565369
KRT17,-1.02002739906311
ERP27,-1.01899564266205
PNRC1,-1.01612842082977
ANG,-1.00912594795227
