signature,log2FC
FST,1.92503225803375
RP11-149I23.3,1.68167865276337
NEURL1,1.62590789794922
CCL26,1.51760935783386
ANKRD1,1.5124751329422
RP11-180O5.2,1.50763189792633
IL7R,1.46638870239258
POLR3G,1.42526400089264
NT5E,1.39747297763824
GAL,1.366739153862
MMP1,1.35110282897949
CTPS1,1.27540373802185
ARL9,1.26906108856201
SEMA3A,1.23157203197479
GNB4,1.20282173156738
RHOF,1.19727170467377
SPP1,1.18073260784149
FOSL1,1.15314710140228
TIGAR,1.13143134117126
NRG1,1.11658263206482
MTHFD1L,1.11587882041931
LINC01029,1.09972512722015
RPP40,1.08205771446228
BNIP3,1.07827842235565
TRIML2,1.06732130050659
IGF2BP1,1.06369757652283
NAPRT,1.06193864345551
PCOLCE2,1.04477405548096
CRABP2,1.04451870918274
RRP12,1.03991377353668
G0S2,1.031702876091
FGFR4,1.03164887428284
KCNAB2,1.02548325061798
CST6,1.01602387428284
FKBP10,1.00716996192932
ANG,-1.00912594795227
PNRC1,-1.01612842082977
ERP27,-1.01899564266205
KRT17,-1.02002739906311
TMEM45B,-1.02319693565369
TXNIP,-1.03725552558899
SYT1,-1.03754615783691
PLCXD2,-1.04516994953156
SLITRK6,-1.04587030410767
RP11-490M8.1,-1.06188535690308
SLC12A2,-1.06512844562531
MAML2,-1.07292604446411
TOM1L2,-1.11255097389221
GLUL,-1.12109744548798
LYPD6B,-1.12889897823334
CYP1B1,-1.13291001319885
RP11-736N17.11,-1.13705456256866
KCNK6,-1.15654301643372
ZG16B,-1.17026245594025
MT1F,-1.17695307731628
CTA-29F11.1,-1.1796019077301
SEMA5A,-1.18891477584839
TNFSF10,-1.20037984848022
RBPMS,-1.21278548240662
AGR2,-1.22144913673401
MMP13,-1.22281384468079
LMO4,-1.22743189334869
ALDH3A1,-1.23070442676544
BTG2,-1.25060725212097
IGFBP3,-1.27517640590668
SAMD4A,-1.28038430213928
PBXIP1,-1.28923618793488
SEPP1,-1.29097461700439
IL20RA,-1.29223930835724
CNFN,-1.33538830280304
CTSH,-1.35296976566315
RP11-11N9.4,-1.44914257526398
IVL,-1.48412072658539
PCAT6,-1.50508892536163
DAPK2,-1.54340839385986
RP11-128M1.1,-1.54980742931366
HPGD,-1.60131466388702
CLDN8,-1.62012457847595
DISP2,-1.65963685512543
GJB2,-1.67012763023376
NKX2-8,-1.6979056596756
DIO2,-1.86973524093628
RP1-124C6.1,-1.87503778934479
PPP2R2B,-1.97077465057373
PALMD,-1.9742249250412
BCAS1,-2.01575326919556
MUC4,-2.01622772216797
FOLR1,-2.23826837539673
KRT13,-2.31750178337097
S100A14,-2.35757327079773
S100P,-2.37770223617554
VILL,-2.52740097045898
EPHB6,-2.61386108398438
GJB6,-2.72503209114075
HBE1,-3.0625364780426
C8orf4,-3.18279457092285
CALML5,-3.25201678276062
DEFB1,-3.77919983863831
SPTSSB,-4.75235509872437
SPRR1B,-5.06604385375977
