signature,log2FC
FST,1.92503225803375
RP11-149I23.3,1.68167865276337
NEURL1,1.62590789794922
CCL26,1.51760935783386
ANKRD1,1.5124751329422
RP11-180O5.2,1.50763189792633
IL7R,1.46638870239258
POLR3G,1.42526400089264
NT5E,1.39747297763824
GAL,1.366739153862
MMP1,1.35110282897949
CTPS1,1.27540373802185
ARL9,1.26906108856201
SEMA3A,1.23157203197479
GNB4,1.20282173156738
RHOF,1.19727170467377
SPP1,1.18073260784149
FOSL1,1.15314710140228
TIGAR,1.13143134117126
NRG1,1.11658263206482
MTHFD1L,1.11587882041931
LINC01029,1.09972512722015
RPP40,1.08205771446228
BNIP3,1.07827842235565
TRIML2,1.06732130050659
IGF2BP1,1.06369757652283
NAPRT,1.06193864345551
PCOLCE2,1.04477405548096
CRABP2,1.04451870918274
RRP12,1.03991377353668
G0S2,1.031702876091
FGFR4,1.03164887428284
KCNAB2,1.02548325061798
CST6,1.01602387428284
FKBP10,1.00716996192932
DDIAS,0.998704016208649
PDCD2L,0.992800176143646
CTH,0.99004191160202
NDUFAF2,0.984756171703339
MROH6,0.984104514122009
AXL,0.972722291946411
NSMF,0.96912693977356
L3HYPDH,0.968397617340088
HOMER2,0.965691864490509
CYCS,0.962680339813232
F3,0.960185468196869
STX2,0.941725969314575
FAM3B,0.939553141593933
TRPM2,0.936432361602783
RASGEF1A,0.93316125869751
RIOK1,0.926013708114624
EEF2KMT,0.922964811325073
RTTN,0.920748949050903
SLC19A1,0.916317641735077
COL9A3,0.908763229846954
HSPH1,0.897391796112061
NTMT1,0.892177581787109
FKBP4,0.891279458999634
WDR5,0.888151526451111
RBBP8,0.887895166873932
PSMD14,0.883990347385407
STEAP1B,0.879555404186249
AAED1,0.879537165164948
SRM,0.878887712955475
RAC3,0.877628266811371
MFAP5,0.875152707099915
STOM,0.870211601257324
TCOF1,0.865111827850342
UPP1,0.865104913711548
FCHO1,0.864722311496735
NOC3L,0.864608347415924
PSMC3IP,0.86177396774292
ENOPH1,0.861694514751434
RPS6KA4,0.852564096450806
ZMYND19,0.851753771305084
THAP4,0.850270211696625
PPP1R14B,0.849392533302307
RP11-357H14.17,0.849353611469269
PSPH,0.844405889511108
PUS1,0.840458929538727
IRX4,0.838322758674622
SERPINE2,0.837719321250916
LHX1,0.835632979869843
SNHG15,0.831981182098389
CAMK1,0.830498337745667
BCYRN1,0.829146385192871
RP11-401O9.3,0.828168213367462
MCUR1,0.825572609901428
C9orf40,0.823078095912933
TMEM51,0.820432126522064
NME1,0.819859683513641
BOP1,0.816576421260834
CD3EAP,0.815804481506348
BIN1,0.815727114677429
DDX21,0.814419686794281
TMEM255B,0.813138604164124
PTPN9,0.812989413738251
PAK1IP1,0.808783233165741
MPP6,0.807543754577637
TRMT6,0.805834293365479
MAPK12,0.805704534053803
HLA-G,0.801051795482636
RP11-445F12.1,0.800997316837311
HSPA8,0.793640851974487
HSPA9,0.792874217033386
AVEN,0.791591346263886
FAM65A,0.789151430130005
B4GALNT1,0.7867311835289
HDAC10,0.786378145217896
CRACR2B,0.784260451793671
CPSF4,0.779805123806
PHLDA2,0.779454231262207
BST2,0.779033958911896
PTP4A1,0.778528690338135
PRRX2,0.769094288349152
PPIF,0.765267193317413
AIFM2,0.763741791248322
PNO1,0.761463165283203
HNRNPAB,0.760199785232544
SNX8,0.756860017776489
SLC25A33,0.756535410881043
XPOT,0.755506336688995
STIP1,0.753435075283051
PSAT1,0.753418564796448
NOP56,0.751808524131775
PPAT,0.751212954521179
SLC25A4,0.75103497505188
SFXN4,0.750221490859985
UBE2M,0.748786687850952
NETO2,0.747662365436554
POPDC3,0.746828734874725
COA7,0.744475185871124
FJX1,0.743441820144653
CENPU,0.740265846252441
FHL1,0.737976670265198
SURF2,0.73763233423233
TSPAN4,0.736887633800507
HMGA1,0.736305475234985
GNPDA2,0.736073911190033
MED27,0.73568058013916
YKT6,0.735654771327972
COA6,0.732008159160614
HERC5,0.7307288646698
CDC42EP5,0.728783309459686
SFTA1P,0.727432608604431
PRADC1,0.727372884750366
CCT6A,0.724913835525513
CTC-524C5.2,0.72404146194458
CCT5,0.720547556877136
LDHA,0.717467188835144
RWDD4,0.71351957321167
EIF5A,0.712943017482758
IKBKG,0.712080359458923
ERLIN1,0.711585402488709
EFHD2,0.711517214775085
UTP4,0.710446715354919
TMEM8A,0.710077464580536
NT5C,0.707801878452301
FTL,0.703896164894104
HAT1,0.700040876865387
HSPE1,0.699891865253449
PRMT3,0.69947361946106
NPM3,0.698740661144257
CCM2,0.698199808597565
ACOT7,0.698015987873077
NOP2,0.697481513023377
WBSCR16,0.697202980518341
GPI,0.696658492088318
PTGES2,0.695530652999878
EPT1,0.694164335727692
KLC2,0.691290676593781
GOLM1,0.690329670906067
MTCH2,0.687551021575928
ATAD3A,0.686265230178833
MT1E,0.686164200305939
PSMG1,0.684831559658051
FAM20C,0.683095514774323
HSP90AA1,0.682687640190125
PPP2R2D,0.682099938392639
LINC01615,0.680198848247528
HSPA4,0.680021703243256
NAPA,0.679390251636505
IDH3A,0.678764581680298
RBP7,0.677824378013611
SSB,0.67667156457901
C12orf75,0.67507803440094
CACYBP,0.674940168857575
POLD2,0.673723638057709
PSMD6,0.673577189445496
SFN,0.671045124530792
ODC1,0.670489311218262
HSPD1,0.670377373695374
TELO2,0.670310735702515
TPM2,0.668863415718079
MCMBP,0.668684363365173
RQCD1,0.668442785739899
PROSER2,0.666382312774658
CUTC,0.665647923946381
BCCIP,0.663346827030182
DNAJC9,0.660981237888336
NUP93,0.659680604934692
RRP36,0.659055054187775
FERMT2,0.658113598823547
CHAMP1,0.658009886741638
SLC35B3,0.657157838344574
UCP2,0.656695604324341
PSMD1,0.654344081878662
STK25,0.653729200363159
RHBDD2,0.653542459011078
UIMC1,0.650913536548615
PRR5,0.649274051189423
MRPL41,0.648520946502686
DNAJA4,0.647659003734589
MTHFD2,0.646818339824677
SYT5,0.646603465080261
PCGF5,0.646211922168732
TBC1D7,0.644393384456635
HMOX1,0.644251942634583
PAICS,0.644245505332947
SPC25,0.642221629619598
BCS1L,0.641036152839661
TFAP4,0.639696419239044
DPH7,0.63935911655426
CLSPN,0.637243986129761
CFD,0.635831236839294
SLC25A39,0.633374035358429
TGFBR3L,0.63316535949707
OSMR,0.632517278194428
PRELID1,0.631352066993713
MTMR4,0.631328165531158
PKN1,0.631147742271423
UBE2S,0.630558550357819
PGP,0.629088163375855
NUDT15,0.627306997776032
PLK2,0.626868009567261
CKB,0.626436769962311
CH17-360D5.3,0.624866425991058
TWISTNB,0.62440299987793
PRR7,0.621408402919769
TCF19,0.621364176273346
CEP112,0.620904505252838
PSMD11,0.620878338813782
WDR3,0.62060534954071
TRMT61A,0.620408475399017
RRM2,0.619707107543945
ASNSD1,0.619449138641357
MX2,0.618841946125031
PTPN3,0.618813693523407
LSM12,0.618469893932343
PDCD11,0.616463005542755
AKAP12,0.615522980690002
FADS1,0.614827990531921
VARS,0.614619016647339
CWF19L1,0.614614725112915
FBXO22,0.61438262462616
CREM,0.614275813102722
TIMM10B,0.613693058490753
LAMC2,0.613089382648468
CLPTM1L,0.612758755683899
RFC3,0.612468004226685
CHST11,0.61078804731369
PSMD13,0.610691606998444
PTRH1,0.610466182231903
GPRIN2,0.609587132930756
NME4,0.609283447265625
TXN,0.609139621257782
USP14,0.608525097370148
ETF1,0.608303129673004
MRPS17,0.608254492282867
TCP1,0.6052006483078
EEF1E1,0.603966951370239
TEX30,0.603915452957153
NIPA2,0.60389256477356
MRPS10,0.60385400056839
CTU1,0.602913439273834
CTNNAL1,0.602703452110291
CCDC85B,0.602383136749268
EXOSC5,0.600542962551117
EIF5AL1,0.600222170352936
ARPC5L,0.59963858127594
UBTD1,0.599483907222748
ST6GALNAC4,0.599377870559692
TRAF2,0.598991632461548
UCHL3,0.597199082374573
TNFRSF12A,0.597036838531494
TIMM23,0.596988081932068
HIST1H1E,0.596904635429382
CUL4A,0.596618175506592
PLEKHB2,0.59615832567215
NOLC1,0.596017301082611
TPTEP1,0.595946550369263
AC004791.2,0.595928072929382
FUOM,0.595687687397003
MICB,0.595676243305206
GLA,0.594927489757538
NCAPH,0.593919813632965
ENO1,0.593429327011108
PDHX,0.592868208885193
NOP16,0.592676341533661
HAGHL,0.59171849489212
AREG,0.59079509973526
PGAM5,0.589508652687073
NPW,0.588880956172943
GNPDA1,0.588313341140747
EIF2S1,0.587686777114868
RRP1,0.587649166584015
TAF10,0.58617901802063
GART,0.58453631401062
CLEC2L,0.584415435791016
NELFB,0.583241760730743
C12orf45,0.582941293716431
DRAP1,0.581483721733093
POLE3,0.580900311470032
HIST2H2AC,0.580259263515472
NOP58,0.580014407634735
FAM50B,0.57990026473999
C10orf35,0.579716682434082
DDIT3,0.579114735126495
SLC7A11,0.579002618789673
PGD,0.578822612762451
PGAM1,0.578772068023682
DHCR7,0.57870626449585
NEFH,0.578670263290405
ZRANB1,0.578550755977631
CD44,0.578410148620606
MARS,0.577600836753845
TOMM40,0.576803147792816
GLRX3,0.576648354530335
RBP1,0.57650637626648
EIF3B,0.576097071170807
GTPBP4,0.575948297977448
HIST1H1A,0.574034571647644
CFAP97,0.573953211307526
RPF2,0.57334691286087
POMP,0.573340058326721
C9orf114,0.571904301643372
SRPRB,0.571197032928467
PNPT1,0.571139931678772
NIPA1,0.571043372154236
NAT10,0.570764899253845
SAC3D1,0.570571184158325
UCHL1,0.570265352725983
DTYMK,0.570223569869995
MSANTD3,0.569603145122528
CALHM2,0.569559037685394
NCLN,0.569106757640839
TMEM40,0.568767130374908
HOXA10-AS,0.568003296852112
ZNF326,0.567398965358734
FXN,0.567382216453552
HMGCS1,0.566706538200378
LAYN,0.566162943840027
PUS3,0.56556111574173
USF2,0.56541383266449
POLR2L,0.564170181751251
NOC4L,0.5639328956604
ITGAE,0.562975406646729
TFAM,0.562253952026367
LPXN,0.562111496925354
GOSR2,0.561497271060944
ICMT,0.561178624629974
CDK5RAP1,0.561007559299469
NIN,0.560377538204193
SERPINB2,0.559912264347076
FAM168B,0.559459686279297
DDX56,0.558728098869324
EXOSC8,0.558604419231415
TUBA1B,0.55749374628067
RBM14,0.557406842708588
PLEKHF1,0.556803107261658
FAM25A,0.556238651275635
PDCD5,0.554440796375275
CMSS1,0.554355144500732
TUBG1,0.554315328598023
COPS3,0.552406907081604
RAD23B,0.55232560634613
CEBPG,0.551604747772217
CCT7,0.551135957241058
CUL2,0.549316108226776
SET,0.547534584999085
CCDC58,0.546457827091217
C1QBP,0.546323418617249
MSMO1,0.546034812927246
PUSL1,0.545756161212921
RRP7A,0.545717298984528
PRPF40A,0.545240223407745
PARVB,0.54412168264389
HDAC3,0.543682813644409
CHORDC1,0.542764782905579
BOLA3,0.541956782341003
KLHL20,0.541327655315399
MRPL17,0.541256189346314
ULBP2,0.541224658489227
PDZD8,0.541012048721314
PSMA1,0.540231585502625
LAD1,0.539965450763702
PIGK,0.539670586585999
TMEM97,0.539642572402954
BRCA2,0.539237558841705
ING2,0.538774311542511
UBE2L6,0.538618385791779
SMC3,0.537697851657867
