signature,log2FC
PCSK1N,5.48022890090942
ITM2A,4.98639631271362
ABI3,4.82756328582764
GNGT2,4.82394456863403
THBS2,4.71838283538818
PPP1R14C,4.60952377319336
HLA-DPA1,4.55041694641113
HLA-DRB1,4.53249502182007
HLA-DRA,4.22836351394653
RP11-676J12.7,4.13511657714844
IFI27,4.01637983322144
CD74,3.9262158870697
TMCO2,3.60299158096314
GMFG,3.39090251922607
BEX5,3.20530080795288
RP11-454P21.1,3.06206297874451
EFR3B,3.03650951385498
CCDC190,2.96848940849304
PRLR,2.9229142665863
SESN3,2.83202767372131
FAM49A,2.77534151077271
TAGLN3,2.56397032737732
MAN1C1,2.49612283706665
HLA-DMA,2.43836688995361
GABBR2,2.3371684551239
CTSS,2.27131366729736
AC007163.3,2.16019201278686
LRP1,2.09066009521484
FAM84A,2.05282974243164
FGF13,2.02761936187744
