signature,log2FC
H2AFV,-0.0167462825775146
RPL39,-0.118952929973602
EIF2S2,-0.157968953251839
RPL8,-0.171595633029938
ACTB,-0.182258307933807
HSP90B1,-0.184660121798515
HINT1,-0.224819645285606
MT-CO1,-0.232196405529976
MT-ATP6,-0.237598061561585
RBMX2,-0.238771378993988
ATOX1,-0.249443843960762
FER,-0.255910187959671
RPL29,-0.262793928384781
RPS3A,-0.275121957063675
SRRT,-0.286266088485718
DYNLL1,-0.299223512411118
PGAM5,-0.300669103860855
HK1,-0.302473217248917
RPL30,-0.303255051374435
MRPS21,-0.304503887891769
FAM175B,-0.310706198215485
BANF1,-0.311828702688217
RPL37,-0.314758956432343
GTF2I,-0.317395120859146
CDKN2AIP,-0.319547384977341
TMEM199,-0.321305096149445
TCEB2,-0.321825563907623
SEC61G,-0.32620832324028
CYFIP1,-0.33075824379921
GOT1,-0.330900400876999
RPL31,-0.332179099321365
HNRNPA2B1,-0.332890242338181
SRSF5,-0.334546595811844
RPL36,-0.337573409080505
FAM195B,-0.341403841972351
RDH11,-0.343105465173721
RNF216,-0.345653980970383
NCAPH,-0.348103642463684
RPS16,-0.349847793579102
PPP3CB,-0.351348787546158
HN1,-0.351760655641556
CFAP36,-0.35676121711731
COX19,-0.357609570026398
NCBP2,-0.35948383808136
MT-ND3,-0.36048087477684
SLU7,-0.360591888427734
CRNKL1,-0.361213892698288
REXO2,-0.362527549266815
POLR2I,-0.362791389226914
KIAA1033,-0.364676922559738
ATP6V0B,-0.365240454673767
RPS17,-0.36556151509285
C12orf29,-0.366856604814529
RAP1GDS1,-0.368033707141876
RPS28,-0.370554566383362
RPS15A,-0.371523916721344
TIMM8A,-0.372245699167252
SUMO2,-0.374061197042465
SNX6,-0.376016080379486
RPP25L,-0.376838088035584
COX6C,-0.376944780349731
PKMYT1,-0.37725830078125
CAMK1,-0.380058497190475
RUFY1,-0.380893468856812
RPS19,-0.381395876407623
ACTG1,-0.382397353649139
ATP5L,-0.385514378547669
CSTB,-0.388438194990158
INTS10,-0.388476699590683
ZNF511,-0.391179084777832
RUVBL2,-0.391701996326447
HMGB1,-0.393282502889633
MCM4,-0.393874228000641
RPL10,-0.394376158714294
MRPL11,-0.396961599588394
RPL19,-0.397837549448013
HSPA1A,-0.401871681213379
METTL10,-0.406778335571289
H2AFZ,-0.408725887537003
MZT2B,-0.409952014684677
CUL1,-0.411074370145798
CCDC58,-0.411285489797592
GOSR1,-0.41690656542778
RPS23,-0.417535305023193
C19orf53,-0.418030977249146
TUBB,-0.4184829890728
CDC6,-0.420459777116776
ACO2,-0.420482367277145
PRKDC,-0.420680016279221
RPL22,-0.421988844871521
PLP2,-0.42258882522583
C19orf52,-0.423919260501862
MED17,-0.425828456878662
RPL28,-0.427335768938065
RPS14,-0.429358899593353
RPL26,-0.431220471858978
CHCHD2,-0.431396901607513
UTP20,-0.432554960250855
ATP6V0D1,-0.433455497026444
CD55,-0.433797836303711
BRD8,-0.43430295586586
SRFBP1,-0.434492826461792
COA3,-0.435402452945709
BUB1,-0.435604482889175
TRAPPC6B,-0.435806512832642
TMEM208,-0.438324898481369
OSBP,-0.439798682928085
TM7SF3,-0.440605252981186
NELFCD,-0.440737754106522
NDUFC1,-0.442636042833328
RPL13,-0.443213164806366
RPL9,-0.443932741880417
SLC39A4,-0.446757823228836
TEX40,-0.447184950113297
PNP,-0.447411060333252
ZCCHC10,-0.447820723056793
HEBP1,-0.447988152503967
HUS1,-0.449474185705185
MIF,-0.449540019035339
TMA16,-0.449850142002106
NEDD1,-0.450608909130097
COX7A2L,-0.450811862945557
COASY,-0.451232939958572
TXN,-0.451596230268478
EEF1D,-0.451904237270355
CARHSP1,-0.452949672937393
PARPBP,-0.454713523387909
NDUFB2,-0.455061554908753
BUD31,-0.455525815486908
NMT2,-0.456446439027786
MMADHC,-0.457935839891434
NAMPT,-0.458084136247635
ACYP2,-0.460313886404038
UBA5,-0.460471659898758
ZFAND1,-0.464495182037354
NPM3,-0.464841336011887
DRAP1,-0.465041786432266
RPS10,-0.465116024017334
PFN1,-0.465978622436523
BAZ1A,-0.466475158929825
IAH1,-0.466477513313294
STX4,-0.466586977243423
RPS18,-0.468300104141235
VAPA,-0.468568325042725
LTA4H,-0.468651562929153
HDAC1,-0.469973683357239
GLTSCR2,-0.470027416944504
CEBPZOS,-0.470291554927826
RAB1A,-0.474173098802566
HACD1,-0.47527489066124
PMP22,-0.476155668497086
UTP3,-0.476380467414856
ATP5G2,-0.476473212242127
MED4,-0.476629823446274
ADPRHL2,-0.476717829704285
EXOSC6,-0.478940367698669
CSTF3,-0.479259461164475
GARS,-0.48158660531044
MRPS31,-0.482257455587387
PITPNB,-0.483656376600266
TBCA,-0.484025418758392
HSPA4,-0.484492301940918
C8orf33,-0.484564423561096
PPP1CA,-0.484782427549362
NAA38,-0.484867244958878
IRF2,-0.485275983810425
PRKCSH,-0.485525339841843
RAC3,-0.485851377248764
GDI2,-0.485951036214829
RPN2,-0.486139059066773
ETHE1,-0.48671966791153
SORD,-0.486738383769989
KNSTRN,-0.486785739660263
C19orf60,-0.487675756216049
RAD51C,-0.487895607948303
POP4,-0.488388329744339
SNX17,-0.48854124546051
ATAD2,-0.488543003797531
CST3,-0.488552421331406
TPI1,-0.488843142986298
KDSR,-0.489534199237824
S100A6,-0.491708874702454
SNRNP27,-0.492627561092377
ORMDL2,-0.493545800447464
NUDT21,-0.494548469781876
PLGRKT,-0.495775729417801
ALG2,-0.497138381004334
RNF145,-0.497237652540207
GCSH,-0.497587203979492
CEP57L1,-0.497856795787811
YIPF3,-0.498099386692047
POLR3D,-0.498179197311402
MRPS36,-0.498707830905914
LINC00493,-0.49924236536026
RPS26,-0.499620020389557
CISD3,-0.500786364078522
RAB8B,-0.501584529876709
ATPIF1,-0.501612782478333
TM4SF1,-0.501968920230866
IGFBP6,-0.502170085906982
RBX1,-0.502264142036438
MRPL41,-0.50258219242096
FAM96B,-0.502684712409973
MMAB,-0.502736568450928
C14orf2,-0.50312602519989
C3orf14,-0.503463745117188
BASP1,-0.503835380077362
AP2S1,-0.504522442817688
MCRS1,-0.504809081554413
CCNDBP1,-0.505686521530151
KIF22,-0.507034420967102
LSM3,-0.508875489234924
KRT8,-0.509006857872009
KRTCAP2,-0.509257137775421
PPIE,-0.509655177593231
CAPZB,-0.51036936044693
DCTN6,-0.510832726955414
CAPZA2,-0.511008858680725
GRPEL1,-0.511464953422546
SNW1,-0.512115180492401
UBXN4,-0.512186527252197
BZW1,-0.512278556823731
SURF2,-0.513209640979767
UBE2A,-0.514593660831451
WBP4,-0.515130698680878
TRAP1,-0.515155613422394
SUCLG2,-0.515484154224396
RPS29,-0.515547811985016
SNRPG,-0.515629827976227
CDKN3,-0.515870451927185
DCXR,-0.516665816307068
TRMT112,-0.516905426979065
ADSS,-0.517269492149353
G6PC3,-0.517299652099609
RBM24,-0.517500936985016
TRNT1,-0.518352031707764
LINC00998,-0.518373191356659
NDUFA6,-0.519027233123779
GLS,-0.519081592559815
METTL3,-0.52143394947052
CSE1L,-0.52228307723999
ANAPC7,-0.52247428894043
UBE2L3,-0.523026347160339
RANGAP1,-0.524313628673554
DESI1,-0.524336576461792
UCHL5,-0.525183439254761
CINP,-0.525452375411987
MRPL51,-0.525514364242554
RPL36A,-0.525538325309753
DDX60L,-0.526136040687561
HLA-A,-0.527242839336395
UBE2M,-0.528037488460541
NUF2,-0.529264032840729
MRPL18,-0.529668033123016
VPS37A,-0.530638635158539
PGRMC2,-0.531650424003601
MRPL42,-0.533508598804474
TMEM256,-0.533560454845429
KARS,-0.534452259540558
PRPF19,-0.535699486732483
GAS6,-0.535935401916504
CCDC12,-0.536303043365479
ANXA6,-0.53653746843338
NOL10,-0.5365931391716
RPL32,-0.536608338356018
HNRNPL,-0.536626935005188
OTUB1,-0.53668749332428
PLAC8,-0.536762475967407
ABCF2,-0.53689169883728
UXS1,-0.537070393562317
NCAPG,-0.537118852138519
TOMM40,-0.537662029266357
UNG,-0.537839412689209
TEX30,-0.538045108318329
PPIC,-0.538176834583283
DYNLT1,-0.539051592350006
HYLS1,-0.539332032203674
SYF2,-0.539762794971466
FNTA,-0.539920389652252
COX11,-0.540616631507874
ZNF593,-0.541597068309784
GNG11,-0.541711807250977
CIAO1,-0.542496085166931
MINOS1,-0.543370366096497
DBNL,-0.543455600738525
KIAA1143,-0.544178903102875
NSMCE3,-0.544521033763886
NDUFB9,-0.544927537441254
PIN4,-0.545395910739899
PBDC1,-0.546087026596069
PMVK,-0.546980619430542
COX5A,-0.547045826911926
BLOC1S1,-0.547656834125519
MBIP,-0.547788143157959
CALCOCO2,-0.547856032848358
DNAJC8,-0.547930121421814
NOSIP,-0.549351274967194
RPL5,-0.549593687057495
LEO1,-0.549610555171967
HEXB,-0.550990700721741
LAMP1,-0.551382780075073
OSER1,-0.551744282245636
NSMCE4A,-0.551816523075104
MYOF,-0.552025377750397
SF3B1,-0.552735507488251
NAPA,-0.553115487098694
RHOA,-0.554493427276611
TBCD,-0.554744005203247
EEF1B2,-0.556884050369263
URM1,-0.557294607162476
TMEM179B,-0.557456493377686
SQRDL,-0.557740688323975
DNMT1,-0.558042645454407
POLR2C,-0.558784127235413
TRIM28,-0.559342801570892
NDUFA12,-0.559590816497803
NAGK,-0.55998158454895
TRAPPC12,-0.561308205127716
NUSAP1,-0.562562823295593
CKS1B,-0.562723398208618
ZFPM1,-0.562796950340271
TCEB1,-0.562874615192413
HSPA8,-0.563128173351288
EXOC2,-0.563435614109039
POP5,-0.564937293529511
POLR2L,-0.565641164779663
GSKIP,-0.565821468830109
EXOSC4,-0.566092371940613
SF3A3,-0.566254436969757
SNRPC,-0.566292464733124
CHCHD3,-0.566328227519989
NSF,-0.566840410232544
CETN3,-0.566844582557678
AURKB,-0.566977977752686
CDC37,-0.567891061306
MRPS34,-0.567906737327576
APEX1,-0.568409860134125
CDCA3,-0.568909645080566
JOSD2,-0.569011390209198
DYNC1I2,-0.56916093826294
TM2D1,-0.570168018341065
PHPT1,-0.570307910442352
AURKAIP1,-0.570370554924011
MFN1,-0.570534646511078
DNAJC9,-0.573274731636047
TIMM44,-0.573386669158936
MNAT1,-0.573540687561035
ITGB3BP,-0.575528562068939
NCOA4,-0.575921952724457
RPF2,-0.576031088829041
PGM1,-0.576107025146484
GIPC1,-0.576885104179382
RTCA,-0.577038407325745
RPLP2,-0.577546000480652
SUV39H2,-0.577682137489319
PTTG1,-0.57868093252182
RPS20,-0.578899264335632
TFAM,-0.579618811607361
ELP5,-0.580215632915497
CUTA,-0.580259203910828
RPS24,-0.580734670162201
ARFRP1,-0.58074963092804
SPTSSA,-0.581476330757141
POLD2,-0.582652032375336
FARSA,-0.584017693996429
RCCD1,-0.58428305387497
PLAUR,-0.584920108318329
ITPA,-0.586142718791962
EZR,-0.587157964706421
FBXO11,-0.587758839130402
MRPL52,-0.588375270366669
DYNC1H1,-0.588987231254578
ARMC10,-0.589035391807556
MBD4,-0.589066863059998
CACYBP,-0.589424788951874
MYC,-0.589564442634583
POLR3G,-0.589850962162018
ARL6IP6,-0.590156257152557
PIN1,-0.590415179729462
ATP6V1D,-0.591900050640106
STAMBP,-0.593803703784943
TRIOBP,-0.593992412090302
NME3,-0.594262063503265
MYL9,-0.594413220882416
SPRY1,-0.594477534294128
UAP1,-0.596328496932983
CBR3,-0.596382260322571
C11orf73,-0.597146570682526
PPP6C,-0.597706317901611
DDX41,-0.597754299640656
JAGN1,-0.598194301128388
ACSL3,-0.598664224147797
APOC1,-0.598705232143402
NDUFA1,-0.599005520343781
RPS11,-0.599492490291596
UBE2J2,-0.600081741809845
PPA2,-0.600190222263336
CHORDC1,-0.600316882133484
SMNDC1,-0.60168468952179
RPL13A,-0.601698279380798
PFKP,-0.602411329746246
COMMD4,-0.602681040763855
MB21D1,-0.602727949619293
HECTD1,-0.602862060070038
CHCHD1,-0.602937042713165
GMNN,-0.604138433933258
CFL1,-0.604331374168396
OSTC,-0.604363679885864
TXNDC12,-0.605685710906982
GALE,-0.605731904506683
THOC1,-0.605820775032044
SREK1IP1,-0.607418119907379
RAB34,-0.60745495557785
DGUOK-AS1,-0.609145402908325
COMMD8,-0.6098273396492
TMCO1,-0.610648930072784
SPAG16,-0.610915303230286
ATP6V0E1,-0.61189466714859
NUDCD2,-0.61209374666214
GABARAP,-0.612851798534393
PELO,-0.612871885299683
POLA1,-0.613161265850067
CAPN2,-0.613217949867249
NDUFA2,-0.613905191421509
NTPCR,-0.614154577255249
TBCC,-0.614184260368347
PARL,-0.61539888381958
IFI27L1,-0.615968108177185
ASNA1,-0.616270422935486
CHIC2,-0.616624057292938
ESF1,-0.617114543914795
C3orf38,-0.617419183254242
SMC3,-0.618268251419067
IFRD1,-0.618386447429657
PANK2,-0.618726193904877
LARS,-0.620353221893311
TGFB1I1,-0.621223092079163
MRPS9,-0.6221724152565
P4HA2,-0.622917711734772
PLIN3,-0.624840795993805
DUSP14,-0.62491500377655
MRPL54,-0.624965786933899
SMARCB1,-0.626642346382141
ZMPSTE24,-0.627409100532532
CMC1,-0.627517640590668
KIAA1429,-0.627804279327393
MIS18A,-0.628717005252838
TRIP13,-0.629799783229828
PSMD4,-0.631106495857239
ELP6,-0.631202757358551
GAPDH,-0.631232976913452
DPH5,-0.631618320941925
