signature,log2FC
CPA4,-1.00443375110626
RP11-160O5.1,-1.00536799430847
OXTR,-1.01541328430176
SORBS2,-1.01587760448456
G0S2,-1.03467643260956
PTGES,-1.03772127628326
LINC00665,-1.04599404335022
C15orf48,-1.06699776649475
LRRC2,-1.08736896514893
LINC01224,-1.08922600746155
CLEC2B,-1.10165441036224
NUAK1,-1.14563655853271
MYL5,-1.1612868309021
NRK,-1.17522871494293
NCF2,-1.17565155029297
PTPRR,-1.20876288414001
RAB9B,-1.23123252391815
GALNT5,-1.24913680553436
GLUL,-1.250532746315
CCL26,-1.25878429412842
INHBA,-1.26731061935425
BEX2,-1.27086818218231
GPAT2,-1.27355670928955
ISYNA1,-1.31138169765472
MT1F,-1.31473004817963
SPARC,-1.31653237342834
CXCR4,-1.32663202285767
RP11-149I23.3,-1.34013223648071
FKBP10,-1.34724605083466
C4BPB,-1.36137425899506
SOX4,-1.37082457542419
C4orf19,-1.41860628128052
HLA-DMA,-1.42245662212372
EHF,-1.53420519828796
HMGN5,-1.59017109870911
CD74,-1.66398346424103
FAM49A,-1.69536149501801
BEX5,-1.86031520366669
ADGRE1,-1.88152801990509
GNGT2,-1.99814367294312
AR,-2.02065396308899
ITM2A,-2.08632612228394
DSCR8,-2.10060620307922
GYPC,-2.2296462059021
PAGE5,-2.27920293807983
HLA-DRA,-2.28383183479309
TUBA3C,-2.29326820373535
LINC01322,-2.36326336860657
ABI3,-2.48795008659363
THBS2,-2.68040585517883
HLA-DRB1,-2.77760457992554
TMCO2,-2.87812447547913
