signature,log2FC
GALNT8,2.34299349784851
PTPRN2,1.87512159347534
STXBP6,1.74992978572845
RAP1GAP2,1.65985500812531
RP11-774D14.1,1.65678298473358
MMP1,1.56636643409729
PDE1C,1.53999257087708
GAL,1.51971065998077
SPANXB1,1.49649703502655
URB1-AS1,1.31931948661804
VSTM1,1.31506109237671
SEMA3A,1.2457275390625
SPANXC,1.24383163452148
JOSD2,1.24212598800659
MAGEA6,1.14209771156311
DGUOK-AS1,1.05463480949402
SSX1,0.994521915912628
CTD-2263F21.1,0.985904693603516
COX7B2,0.969804286956787
KRT19,0.954153537750244
B9D1,0.936640560626984
SPANXD,0.922111868858337
LINC00707,0.905882596969604
EPB41L3,0.862721621990204
DMKN,0.862295508384705
NMB,0.851748049259186
FIBCD1,0.845595419406891
TNC,0.785012125968933
ABHD14B,0.783633589744568
RP4-555D20.4,0.776415288448334
TIAM1,0.770113348960877
CARD8-AS1,0.760578572750092
RP11-783K16.5,0.740581035614014
NUDT8,0.739177823066711
EMC10,0.737123429775238
AREG,0.726268947124481
SERPINB9,0.724575459957123
ZNF724P,0.724146544933319
LY6K,0.716869294643402
TCTEX1D2,0.709593117237091
CXCL8,0.708742439746857
CYP4V2,0.696220397949219
GSR,0.673580408096314
CYB5D2,0.672979712486267
ADAMTS6,0.671746611595154
CRELD2,0.671359062194824
PTN,0.668327391147614
ABCB8,0.667976379394531
PLPP5,0.662723362445831
TST,0.65515547990799
FOXRED2,0.65425568819046
MIF4GD,0.646878957748413
ETFB,0.642870366573334
CPVL,0.639118432998657
PLCB4,0.638035893440247
GCA,0.619850039482117
GSTP1,0.61267876625061
DCLK1,0.601535439491272
DYNC1H1,0.586608827114105
C21orf58,0.583818972110748
HYOU1,0.573464095592499
MPP4,0.567369878292084
GPHN,0.565260589122772
TMEM161A,0.561270713806152
MYEF2,0.556379973888397
LRRC8A,0.556108951568604
FAM24B,0.553777754306793
CASC8,0.546941697597504
TSTD1,0.545947194099426
METTL4,0.545449614524841
SPA17,0.542945921421051
AGTRAP,0.540176868438721
GUSB,0.534936308860779
PCID2,0.533279597759247
L3HYPDH,0.530730366706848
PNPO,0.529405474662781
APEH,0.527587831020355
C15orf52,0.526479780673981
GLG1,0.525185883045197
CD163L1,0.523870408535004
H2AFJ,0.523770451545715
WDR72,0.519869029521942
RAB11FIP1,0.517099678516388
ASF1B,0.511486232280731
