signature,log2FC
UBB,-0.021694665774703
NACA,-0.0282039679586887
RBM8A,-0.03126485273242
SLC25A3,-0.0343906506896019
RPS14,-0.0392733030021191
RPS15A,-0.0443480759859085
PEBP1,-0.044845387339592
RPL35,-0.0463440679013729
RPS21,-0.0533398129045963
NEDD8,-0.0605707801878452
YWHAQ,-0.0698379501700401
RPL11,-0.0734757706522942
ERP29,-0.0770299956202507
COX6C,-0.0778149589896202
RPL10A,-0.0783742219209671
SF3B6,-0.0813210979104042
HSP90AB1,-0.082341805100441
TMEM167A,-0.0825415775179863
RHOA,-0.084669716656208
RPS18,-0.085471898317337
RPL35A,-0.0865268334746361
RSL1D1,-0.0869913101196289
PKM,-0.090958334505558
NAP1L1,-0.0913972556591034
PTMA,-0.0919093489646912
GTF2A2,-0.092410109937191
RPL10,-0.0929312780499458
RPS8,-0.0942587479948998
EEF1E1,-0.0958305150270462
DSTN,-0.0963215455412865
MRPS34,-0.101963870227337
SH3BGRL3,-0.102985739707947
RPS4X,-0.105180494487286
VPS29,-0.105381652712822
RHEB,-0.106814183294773
TCEB2,-0.107185997068882
EIF5A,-0.108918100595474
PRDX3,-0.109364561736584
SRPK1,-0.110245048999786
CCT8,-0.111932940781116
DNAJB6,-0.112438656389713
BASP1,-0.11273155361414
EIF3E,-0.112825445830822
CCT2,-0.11468156427145
ATP5J,-0.115322276949883
RPL22,-0.116510540246964
RPS3A,-0.11672368645668
SNRPF,-0.118084497749805
NDUFB3,-0.119053453207016
VPS35,-0.119251303374767
ARL1,-0.119828134775162
SAP18,-0.120563894510269
NOL7,-0.120844721794128
SNRPA1,-0.121682703495026
COX5B,-0.122566185891628
COX7B,-0.125460341572762
ATP6V0B,-0.128177151083946
LINC00152,-0.131615579128265
RPL8,-0.131647661328316
PSMD7,-0.134115472435951
TPI1,-0.134149998426437
CSTB,-0.134846583008766
CST3,-0.137138798832893
UBE2T,-0.137197196483612
TUBB,-0.13723187148571
CLPTM1L,-0.13834536075592
SRRM1,-0.13923704624176
PSMB2,-0.140358969569206
HMGN2,-0.143997743725777
GPN3,-0.144266039133072
DNAJA1,-0.144923076033592
PSMG1,-0.144957393407822
PPP2CA,-0.145467698574066
MAPRE1,-0.146655306220055
ATP5A1,-0.147773042321205
COPRS,-0.148440346121788
MRPL42,-0.149720579385757
PUF60,-0.151281863451004
ATP1A1,-0.15167498588562
PLRG1,-0.154106020927429
TNFRSF12A,-0.155128940939903
TXNL4A,-0.158058643341064
HMGN1,-0.158527582883835
CCDC59,-0.158648148179054
CNBP,-0.159508094191551
FRMD6,-0.159951508045197
IMMT,-0.162037953734398
SRRM2,-0.162352338433266
DENR,-0.164541229605675
RPS10,-0.166949957609177
HNRNPAB,-0.168065547943115
ZC3H15,-0.168561726808548
SOD1,-0.168955475091934
MRPL14,-0.169142514467239
ESF1,-0.169491097331047
POLR2F,-0.170450881123543
TFAM,-0.171391114592552
CENPU,-0.171868726611137
CNIH1,-0.172145962715149
DNAJC8,-0.172498017549515
GLTP,-0.17404717206955
HMGN3,-0.174138695001602
ENY2,-0.174191832542419
NDUFA12,-0.175238892436028
SH3GLB1,-0.175250843167305
PGAM1,-0.17686328291893
KRR1,-0.177292764186859
RPL6,-0.179559022188187
PFDN6,-0.180561929941177
UQCRB,-0.181931212544441
AK6,-0.182094037532806
TPM1,-0.18269282579422
MRPS36,-0.183404698967934
NDUFA1,-0.18353895843029
PIN4,-0.183802634477615
MRFAP1,-0.184101596474648
MEA1,-0.184438943862915
DKC1,-0.184609517455101
RPS19BP1,-0.18532794713974
METAP2,-0.186072036623955
UBE2N,-0.186621367931366
MCUR1,-0.186640560626984
POLR1D,-0.186916723847389
LMO4,-0.188286244869232
EIF5B,-0.189004763960838
PDLIM1,-0.189392492175102
MLEC,-0.18972809612751
MTDH,-0.189749255776405
TXNDC9,-0.190473631024361
HDAC2,-0.190652921795845
RPLP0,-0.191224277019501
SLC25A5,-0.192659229040146
SMCHD1,-0.193201974034309
RPL30,-0.196919962763786
ATP2B1,-0.197127535939217
COTL1,-0.198296710848808
CDC42,-0.198518007993698
JUND,-0.198544189333916
GABPB1-AS1,-0.199347749352455
ANAPC5,-0.199994117021561
UBE2A,-0.200215503573418
CYC1,-0.200925379991531
CFL2,-0.201071217656136
OCIAD1,-0.201107814908028
DCTN3,-0.201286882162094
ISCU,-0.202346801757813
GLIPR1,-0.203746795654297
TLN1,-0.203941956162453
RPL36A,-0.204405546188355
EMC8,-0.20459346473217
RPL39,-0.204618513584137
MAF1,-0.206248328089714
CHRAC1,-0.206655755639076
HMGA1,-0.208593308925629
CAV1,-0.208641767501831
ACO1,-0.209004089236259
HIGD1A,-0.210375040769577
KPNB1,-0.21153499186039
RPL9,-0.213133633136749
TYW3,-0.215921387076378
NGFRAP1,-0.216204017400742
LYRM4,-0.216785371303558
CFDP1,-0.217024758458138
MED31,-0.218433767557144
USP1,-0.219040796160698
CNOT7,-0.219565138220787
H2AFY,-0.220313116908073
MRTO4,-0.220559045672417
ATP5O,-0.22081646323204
LAGE3,-0.221164107322693
SEP15,-0.221540793776512
ATRX,-0.222006022930145
IRS1,-0.223517268896103
SNRPC,-0.224170610308647
MSH2,-0.224301502108574
UBA3,-0.224500864744186
FARSA,-0.225561022758484
RIOK1,-0.22561539709568
RTCB,-0.227165699005127
C19orf24,-0.227457657456398
HPCAL1,-0.227826431393623
FAM49B,-0.228474780917168
IDS,-0.229342818260193
RNPS1,-0.229630246758461
MRPL45,-0.23151695728302
EIF2B1,-0.23299452662468
VCP,-0.234903156757355
RTCA,-0.235532373189926
RPL5,-0.235658541321755
C6orf62,-0.235815122723579
OSBPL8,-0.23634172976017
RFC1,-0.237186148762703
CNN3,-0.2379180341959
MRPS18B,-0.238492384552956
CLSPN,-0.238875418901444
TRIAP1,-0.23977442085743
