signature,log2FC
ISYNA1,-2.00085067749023
INHBA,-2.02857875823975
GLUL,-2.03512835502625
CYB5R2,-2.06828618049622
NCF2,-2.07937836647034
MATN2,-2.08328437805176
RAB9B,-2.13692235946655
GALNT5,-2.16826438903809
OXTR,-2.16926765441895
BEX2,-2.22421073913574
CXCR4,-2.22866773605347
AC007163.3,-2.24864959716797
FKBP10,-2.30269074440002
HLA-DMA,-2.3390064239502
HMGN5,-2.33911418914795
RP11-149I23.3,-2.4033670425415
CD74,-2.40498852729797
AK5,-2.41739940643311
PTPRR,-2.44435048103333
EHF,-2.56831502914429
CYP24A1,-2.63299679756165
BEX5,-2.79767441749573
ADGRE1,-2.87210249900818
GNGT2,-3.0658814907074
DAPK1,-3.0911111831665
AR,-3.21499752998352
HLA-DRA,-3.35509324073792
GYPC,-3.55511546134949
ABI3,-3.63755226135254
LINC01322,-3.67620897293091
TUBA3C,-3.8019335269928
THBS2,-3.90694928169251
PAGE5,-3.91381096839905
HLA-DMB,-3.92083382606506
HLA-DRB1,-3.93751120567322
TMCO2,-4.00678062438965
ERVMER61-1,-4.87408065795898
