signature,log2FC
RPL6,-0.258717566728592
RPS23,-0.273707538843155
RPS26,-0.278018146753311
RPL22,-0.29124441742897
RPS24,-0.336687237024307
RAN,-0.337164849042893
RPL15,-0.350447744131088
RPL30,-0.353540331125259
RPSA,-0.36885392665863
TMSB4X,-0.375678062438965
TXN,-0.376067847013474
PKM,-0.376298278570175
RPS15,-0.389585793018341
RPL32,-0.390355467796326
GAPDH,-0.400281935930252
RPL14,-0.407186508178711
RBM17,-0.409086525440216
SPCS2,-0.424247682094574
RPL41,-0.425014913082123
RPL35A,-0.425409317016602
RPL36,-0.425931692123413
CSTB,-0.428977966308594
GPX1,-0.446393340826035
RPL12,-0.461122006177902
RPS27,-0.466931223869324
PHB2,-0.474203407764435
H3F3A,-0.479247033596039
SEC11A,-0.489150255918503
CKS1B,-0.489347398281097
SEC61B,-0.491178631782532
S100A11,-0.498776972293854
GPX4,-0.506656110286713
ZC3H15,-0.51333475112915
KRT18,-0.52557098865509
PRDX6,-0.530315697193146
H2AFZ,-0.531869947910309
HNRNPDL,-0.543006002902985
TUBB4B,-0.552621126174927
PCBP2,-0.566294074058533
TUBA1B,-0.568308055400848
TPI1,-0.577825784683228
RPL10,-0.577976226806641
RPS17,-0.602559030056
CAV1,-0.6030193567276
ARPC5L,-0.603613078594208
RPL7A,-0.615337729454041
CALD1,-0.616113245487213
RPL5,-0.621124148368835
TUBA1C,-0.628295302391052
NACA,-0.635321438312531
PLAC8,-0.652632653713226
RPL34,-0.655869424343109
TCEAL4,-0.656165719032288
SMC2,-0.660991787910461
MCTS1,-0.667681694030762
RPL36A,-0.668197572231293
NDUFA11,-0.673964262008667
RPL39,-0.674903750419617
FABP5,-0.679408192634583
PDHB,-0.682326257228851
ANP32B,-0.692516207695007
BPTF,-0.694996118545532
UBQLN1,-0.697283327579498
LMNA,-0.698162615299225
MRPS16,-0.700575828552246
CLNS1A,-0.707606017589569
S100A10,-0.708919167518616
S100A6,-0.711701452732086
CCND1,-0.712016344070435
GRSF1,-0.726727187633514
RPS6,-0.731667578220367
SSR4,-0.73541533946991
RPS4X,-0.736826360225678
RPS3,-0.740802228450775
TIMM17A,-0.74145245552063
GNL3,-0.747223198413849
MORF4L2,-0.74731856584549
DNAJC1,-0.749411642551422
MYL6,-0.751516282558441
SLC3A2,-0.754458785057068
LIMA1,-0.755205631256104
SNX3,-0.761813640594482
PSMB4,-0.771415591239929
CCNI,-0.773074746131897
VIMP,-0.773854374885559
MIR4435-2HG,-0.781720459461212
SLC25A5,-0.782668828964233
HAX1,-0.782794117927551
FNDC3B,-0.784245848655701
M6PR,-0.787698805332184
FIP1L1,-0.789899468421936
RHOC,-0.7953120470047
FLNA,-0.79564505815506
SSR2,-0.802539944648743
CDK4,-0.806027054786682
CHTOP,-0.811560869216919
MRPL55,-0.829854309558868
UBE2T,-0.833700299263001
IL18,-0.856001079082489
PGK1,-0.859593987464905
ARL6IP5,-0.868274092674255
SGOL1,-0.880202293395996
CD55,-0.896564602851868
TROVE2,-0.90330308675766
MFSD14B,-0.921168327331543
LAGE3,-0.923275172710419
SFSWAP,-0.92742258310318
DPYSL2,-0.946261763572693
UBALD2,-0.976651310920715
CDCA3,-0.982750415802002
ATP1B1,-0.986880838871002
KIF21A,-1.01471316814423
ZCRB1,-1.02431452274322
HMGA2,-1.02749419212341
RSF1,-1.03845131397247
MRPL48,-1.03971290588379
BMI1,-1.05199420452118
MPZL1,-1.05775761604309
PRSS23,-1.069500207901
ELOVL5,-1.08124983310699
FAM103A1,-1.0888979434967
USO1,-1.0930427312851
MOSPD1,-1.09687042236328
BDNF,-1.09811699390411
UACA,-1.09946250915527
OGT,-1.10422909259796
GON4L,-1.11075007915497
TBK1,-1.12193059921265
OXA1L,-1.14007270336151
SGMS2,-1.14158272743225
FAM127B,-1.16479766368866
WBP5,-1.16977250576019
GALNT2,-1.17337095737457
GRPEL2,-1.1883852481842
SLC10A3,-1.19989252090454
FHL1,-1.21387612819672
EFNA5,-1.21955549716949
LAMP2,-1.25432121753693
PRKAG1,-1.25670886039734
FAM50A,-1.27642118930817
F3,-1.27876126766205
PODXL,-1.28374135494232
FUNDC2,-1.28592777252197
DECR1,-1.28729438781738
ZBTB7A,-1.30008518695831
VAMP7,-1.33494341373444
SAT1,-1.35726606845856
CELF2,-1.4125611782074
FAM127A,-1.45378088951111
KLF4,-1.48709392547607
PTGR1,-1.49850380420685
RP11-83A24.2,-1.506951212883
UCK2,-1.58749604225159
C9orf3,-1.59305238723755
HS2ST1,-1.61636877059937
MKNK2,-1.66233766078949
C5orf63,-1.70199322700501
TGFB2,-1.85035371780396
LSR,-2.06200075149536
DMKN,-2.13136124610901
GABPB2,-2.1422758102417
WDR47,-2.22997403144836
DLC1,-2.38731145858765
S100A2,-2.62596154212952
TGFBI,-2.62791514396668
CATSPER1,-2.64886069297791
ZNF175,-2.77941656112671
PTGES,-2.93279457092285
SPARC,-3.3660192489624
KRT81,-4.22257709503174
KRT7,-4.35528039932251
