signature,log2FC
VSTM1,28.176399230957
MED25,26.7713012695313
TYW1,26.7165184020996
NBPF15,26.7054386138916
MT1A,3.91146850585938
CCDC85C,3.26359415054321
MAP4K3,3.2401864528656
CDKAL1,3.23171615600586
RPS6KA3,3.21250462532043
SUPT7L,3.2098069190979
MED15,3.03857254981995
GTF3C1,2.85818982124329
SEMA3A,2.84893274307251
ATP5SL,2.77056550979614
CLASP2,2.64595723152161
TRMT2A,2.56857776641846
KNTC1,2.49867606163025
ADAMTS1,2.27373337745667
CPSF3,2.17544651031494
ATP11B,2.12066221237183
SPANXC,2.03493046760559
PTPRN2,2.0222315788269
LSR,-2.06200075149536
DMKN,-2.13136124610901
GABPB2,-2.1422758102417
WDR47,-2.22997403144836
DLC1,-2.38731145858765
S100A2,-2.62596154212952
TGFBI,-2.62791514396668
CATSPER1,-2.64886069297791
ZNF175,-2.77941656112671
PTGES,-2.93279457092285
SPARC,-3.3660192489624
KRT81,-4.22257709503174
KRT7,-4.35528039932251
